anio,depto,ocupados,ocupados_horas_validas,horas_sem_expandidas_validas,horas_semanales_promedio,share_ocupados_sin_horas_validas,horas_sem_expandidas,horas_anuales,horas_mensuales,departamento,ocupados_remuneracion_valida,horas_mensuales_remuneracion_valida,rem_total_mensual,rem_por_trabajador,rem_por_hora,share_ocupados_remuneracion_valida
2018,8,966033.1301276636,965775.8092112031,43322668.33876341,44.85789344231678,0.00026636862487983137,43334211.213014476,2253378983.0767527,187781581.9230627,Atlántico,965775.8092112031,187731562.8013081,1374072593290.4924,1422765.594442426,7319.347757972843,0.9997336313751202
2019,8,1069738.2888898475,1068225.3857145675,48783007.0166395,45.667335441581095,0.0014142741182519014,48852097.273435645,2540309058.2186537,211692421.51822114,Atlántico,1068225.3857145675,211393030.40543783,1612249049049.0034,1509277.9769229342,7626.784317140525,0.9985857258817481
2021,8,990511.3807259536,989412.2459330023,43582290.70104234,44.048667155867705,0.001109663971902819,43630706.12369648,2268796718.432217,189066393.20268476,Atlántico,989412.2459330023,188856593.03785014,1390599684277.8098,1405480.5668657287,7363.257283790508,0.9988903360280972
2022,8,1166496.5446337063,1164606.2179608345,51114007.70805422,43.889519839205576,0.0016205163072003925,51196973.23806581,2662242608.379422,221853550.6982852,Atlántico,1164606.2179608345,221494033.4015683,1614720748266.9854,1386495.043014864,7290.1320341189485,0.9983794836927996
2023,8,1233057.3922895016,1231657.257106489,55913471.74797009,45.396940930893905,0.0011354987949204753,55977033.602168575,2910805747.312766,242567145.60939717,Atlántico,1231657.257106489,242291710.90787038,1923815706187.4377,1561973.2641425135,7940.080570560477,0.9988645012050795
2024,8,1209186.9753406516,1208997.0785044276,54377998.03449156,44.97777455488898,0.00015704505597280427,54386539.17157993,2828100036.9221563,235675003.07684636,Atlántico,1208997.0785044276,235637991.48279676,1913381371089.5603,1582618.6887535586,8120.003735599871,0.9998429549440272
2025,8,1256860.111565948,1256546.1594352522,55237515.35491445,43.9597980067367,0.0002497908301860585,55251316.627163626,2873068464.612509,239422372.0510424,Atlántico,1256546.1594352522,239362566.5379626,2029145837586.4949,1614859.7664716777,8477.289773982578,0.9997502091698139
2010,11,3269608.6969012227,3263993.469105084,157685767.85210717,48.31068730518667,0.0017174005566661377,157957043.36631382,8213766255.048319,684480521.2540265,Bogotá D.C.,3263993.469105084,683304994.0257977,7402938385904.9,2268061.6416596645,10834.01767970308,0.9982825994433339
2011,11,3418873.258181581,3411285.5908781956,162073252.03800288,47.510901013796094,0.002219347349372347,162433748.94817963,8446554945.305341,703879578.7754451,Bogotá D.C.,3411285.5908781956,702317425.4980124,7742303955806.312,2269614.7096300856,11023.93828590577,0.9977806526506277
2012,11,3509967.2281839694,3505226.159496873,167046341.33113748,47.65636616015518,0.0013507444311806616,167272283.4364802,8698158738.69697,724846561.5580808,Bogotá D.C.,3505226.159496873,723867479.1015956,7708333499963.666,2199097.3333001975,10648.818633944726,0.9986492555688193
2013,11,3548110.034808426,3542637.1292612264,167875778.16945717,47.38723500153277,0.0015424847294780442,168135124.0307635,8743026449.599703,728585537.4666419,Bogotá D.C.,3542637.1292612264,727461705.4009811,8455979792190.185,2386916.718719531,11623.951789364912,0.998457515270522
