anio,depto,departamento,pib_miles_millones_2015,ocupados,ocupados_horas_validas,horas_sem_expandidas_validas,horas_semanales_promedio,share_ocupados_sin_horas_validas,horas_sem_expandidas,horas_anuales,pib_pesos_2015,pib_por_trabajador_millones_2015,pib_por_hora_pesos_2015,horas_semanales_por_trabajador
2017,11,Bogotá D.C.,214483.69005150103,3329229.5413709898,3327453.192911413,156504099.396453,47.03420012935389,0.0005335614253997312,156587648.5254002,8142557723.32081,214483690051501.03,64.42442234342778,26341.070869808624,47.03420012935389
2018,11,Bogotá D.C.,221651.98815448463,3406080.6571038486,3403189.430188113,160744807.5323053,47.23357627595242,0.0008488427629291806,160881370.51936078,8365831267.006761,221651988154484.62,65.07537855634716,26494.914979774658,47.23357627595242
2019,11,Bogotá D.C.,229313.76178465533,3568694.8330839546,3567192.9723888845,167599753.34547457,46.983652031932564,0.0004208431276182534,167670316.24577218,8718856444.780153,229313761784655.34,64.25703864022734,26300.898889319596,46.98365203193256
2021,11,Bogotá D.C.,237631.21138542914,3134441.084553535,3129469.8939425983,147266139.4239826,47.05785465743924,0.0015859894880253522,147500072.9892265,7670003795.439777,237631211385429.12,75.81294558588806,30981.889673472317,47.05785465743924
2022,11,Bogotá D.C.,260391.4394270662,3588029.8763249717,3585460.633995056,170640626.99749246,47.59238614408052,0.0007160593469046628,170762903.37055552,8879670975.268887,260391439427066.2,72.57226065624941,29324.446835056435,47.592386144080514
2023,11,Bogotá D.C.,261972.88307518672,3808991.2263876526,3803993.5766082336,176621975.2523889,46.43067126571515,0.0013120664980261765,176854019.48639828,9196409013.292711,261972883075186.72,68.77749711270272,28486.43233424316,46.430671265715155
2024,11,Bogotá D.C.,267051.3678142882,3964950.027902832,3962574.062326514,179756511.67696062,45.36357146885013,0.0005992422501158723,179864293.96118945,9352943285.981852,267051367814288.2,67.35302234200888,28552.655527650164,45.36357146885014
2010,13,Bolívar,23076.789357966394,646900.0423447139,646623.322603664,31021566.85549824,47.97471073358167,0.00042776274994038577,31034842.405029383,1613811805.061528,23076789357966.395,35.6728827444866,14299.554189397302,47.974710733581674
2011,13,Bolívar,25158.94834859299,697368.9541956572,697268.2972725306,32370583.033742163,46.42485992890333,0.00014433811904146499,32375256.017299186,1683513312.8995576,25158948348592.99,36.076954956521156,14944.312085813623,46.42485992890333
2012,13,Bolívar,25784.44706444199,677643.5845057556,677052.8210990198,30675484.893423982,45.30737327647535,0.0008717907469995012,30702250.831611037,1596517043.243774,25784447064441.99,38.05016037043731,16150.436460141775,45.30737327647535
2013,13,Bolívar,28346.01323410931,659618.8900563533,659618.8900563533,30200197.35984132,45.78431244936182,0.0,30200197.35984132,1570410262.7117486,28346013234109.31,42.97331938399705,18050.06876684699,45.78431244936181
2014,13,Bolívar,27792.85110444693,655328.3124304536,654753.235016821,29348971.91853759,44.824477908510985,0.0008775409252498312,29374749.463360652,1527486972.094754,27792851104446.93,42.41057585528389,18195.147724456576,44.824477908510985
