anio,pib_miles_millones_2015,ocupados,horas_sem_expandidas,horas_anuales,group_code,group_name,group_label_short,group_order,sector_code,dane_groups,pib_pesos_2015,pib_por_trabajador_millones_2015,pib_por_hora_pesos_2015
2024,1898.0,34868.21665475295,1640207.338421604,85290781.5979234,054,Vehículos y equipo de transporte,Vehículos y equipo de transporte,31,C,054,1898000000000.0,54.43352663524534,22253.28417023454
2025,2236.9250351732885,35831.970996703254,1640667.1486008472,85314691.72724405,054,Vehículos y equipo de transporte,Vehículos y equipo de transporte,31,C,054,2236925035173.2886,62.42818837342491,26219.693113641737
2010,14850.0,55666.19000753505,2726496.08232576,141777796.28093952,058-060|061,"Energía eléctrica; Gas, vapor y aire acondicionado","Energía eléctrica; Gas, vapor y aire acondicionado",34,D+E,058-060; 061,14850000000000.0,266.7687513370303,104741.36564073835
2011,15355.0,65792.69618799268,3263975.387052524,169726720.12673125,058-060|061,"Energía eléctrica; Gas, vapor y aire acondicionado","Energía eléctrica; Gas, vapor y aire acondicionado",34,D+E,058-060; 061,15355000000000.0,233.38456834365638,90468.96085975594
2012,15723.000000000004,61103.28711638906,3021566.1747907386,157121441.08911842,058-060|061,"Energía eléctrica; Gas, vapor y aire acondicionado","Energía eléctrica; Gas, vapor y aire acondicionado",34,D+E,058-060; 061,15723000000000.004,257.31839876389887,100069.09235946993
2013,16366.0,59212.32978179671,2895573.2867214433,150569810.90951505,058-060|061,"Energía eléctrica; Gas, vapor y aire acondicionado","Energía eléctrica; Gas, vapor y aire acondicionado",34,D+E,058-060; 061,16366000000000.0,276.3951369640467,108693.7673703738
2014,17023.0,70176.61409230514,3423527.6058262433,178023435.50296465,058-060|061,"Energía eléctrica; Gas, vapor y aire acondicionado","Energía eléctrica; Gas, vapor y aire acondicionado",34,D+E,058-060; 061,17023000000000.0,242.57368669296588,95622.24182397893
2015,16842.0,63582.97847983437,3068676.375097839,159571171.50508764,058-060|061,"Energía eléctrica; Gas, vapor y aire acondicionado","Energía eléctrica; Gas, vapor y aire acondicionado",34,D+E,058-060; 061,16842000000000.0,264.8822122313996,105545.38041643081
2016,16990.0,58300.72012254863,2821208.6103519276,146702847.73830023,058-060|061,"Energía eléctrica; Gas, vapor y aire acondicionado","Energía eléctrica; Gas, vapor y aire acondicionado",34,D+E,058-060; 061,16990000000000.0,291.4200710434943,115812.33944625303
2017,17522.999999999996,62149.8916348516,2977375.989517659,154823551.45491827,058-060|061,"Energía eléctrica; Gas, vapor y aire acondicionado","Energía eléctrica; Gas, vapor y aire acondicionado",34,D+E,058-060; 061,17522999999999.996,281.9473942601966,113180.45501044049
2018,18011.0,63895.12611408822,3066540.8111251155,159460122.17850602,058-060|061,"Energía eléctrica; Gas, vapor y aire acondicionado","Energía eléctrica; Gas, vapor y aire acondicionado",34,D+E,058-060; 061,18011000000000.0,281.88378512377267,112949.86955947374
2019,18554.999999999996,67834.76531786105,3236945.568826348,168321169.5789701,058-060|061,"Energía eléctrica; Gas, vapor y aire acondicionado","Energía eléctrica; Gas, vapor y aire acondicionado",34,D+E,058-060; 061,18554999999999.996,273.53230917885145,110235.68839506354
