anio,depto,departamento,ocupados,pib_por_trabajador_millones_2015,ocupados_remuneracion_valida,rem_total_mensual,rem_por_trabajador,share_ocupados_remuneracion_valida
2023,23,Córdoba,754655.9448473185,22.13926466940473,754548.0945887251,724887782229.0146,960553.9944108882,0.9998570868495376
2024,23,Córdoba,774002.029012392,22.005281350538073,773951.7879030012,808649441001.3202,1044763.9808297885,0.9999350891761163
2010,41,Huila,364173.5576786011,32.19337745760303,363959.48964157456,434030807352.09656,1191824.0580639506,0.9994121812731513
2011,41,Huila,381740.7243286126,32.75434088263778,381400.17247640964,484272915803.48346,1268591.1796683457,0.9991078975060836
2012,41,Huila,379659.3799076062,33.633823458079156,379421.1758815544,502978139228.2134,1324814.2041179596,0.9993725849046327
2013,41,Huila,378640.8502138446,35.153114757750934,377793.1024447876,463885822119.5161,1225134.1128605849,0.9977610768394952
2014,41,Huila,385504.44524862897,36.095723966609036,385089.28734430677,503218324080.0828,1305350.25025596,0.998923078814164
2015,41,Huila,399249.55486959004,34.57818250803091,398946.24206490256,486070725998.5399,1217460.9090229517,0.9992402926916562
2016,41,Huila,410506.62886333995,33.217091854092445,410193.61025388737,493512650918.0123,1202203.8530401066,0.9992374822050516
2017,41,Huila,405580.1400556756,32.57465617953007,405427.03366758116,511752120012.2385,1261778.0543741325,0.9996225002829936
2018,41,Huila,379140.23285223957,35.261742742014064,379140.23285223957,517934309923.6039,1366075.8343350384,1.0
2019,41,Huila,381681.7755464944,36.033949046428155,381573.47571423114,478920999613.734,1254765.1742816693,0.9997162562134171
2021,41,Huila,366627.50592080876,38.634286657211206,366605.85730903957,519261237841.8444,1416318.2779690414,0.9999409520250947
2022,41,Huila,432782.5810661316,34.21383177552631,432752.6494407654,597886398389.1892,1381493.6749911124,0.9999308391172018
2023,41,Huila,452254.36942856165,32.95478100751341,452217.0412365144,609789241487.4657,1348332.448966617,0.9999174619537796
2024,41,Huila,485561.0025486689,31.620497535713756,485485.0155358647,660214170535.361,1359693.5649072975,0.9998435067635059
2010,44,La Guajira,271571.4127948123,27.75669061412402,271284.88686123106,314337275086.96765,1157475.5672993734,0.9989449333763355
2011,44,La Guajira,275949.72829844506,29.011748915662466,275828.8137134423,336228019534.6911,1218439.3933196915,0.99956182386644
2012,44,La Guajira,306516.15747150395,27.529914114204125,306254.3549459891,347067242460.0696,1132296.7289002882,0.9991458769166542
2013,44,La Guajira,306487.5583086128,27.66761789517704,306225.29419053986,341165086513.5085,1113144.9785311602,0.9991442911434308
2014,44,La Guajira,327326.18814675946,26.641967866599025,327259.64054492075,422778461476.03827,1291612.0884482423,0.9997966933161826
2015,44,La Guajira,347495.82661045453,24.937894030968444,347450.478687771,388943615271.176,1119275.6444444577,0.9998695008135037
2016,44,La Guajira,348153.8596396848,25.538539072901873,348019.0692437394,400411051967.8458,1150097.983639313,0.999612842448207
2017,44,La Guajira,371601.05640502856,24.209331469770675,371500.2476119207,409555823719.27496,1102138.4806637294,0.9997287176896559
2018,44,La Guajira,398409.57838648197,22.532453769737554,398359.50252039114,411986108037.96216,1034076.8153879828,0.9998743105868748
2019,44,La Guajira,391706.1340055702,22.86279052753918,390843.35373883933,414362317349.4451,1057839.7461183304,0.9977973787188162
2021,44,La Guajira,425084.82987097796,20.622835394920628,424955.7314940532,335679809381.3158,789677.226268464,0.9996962997315996
2022,44,La Guajira,367462.7749025027,23.175205150048118,367446.27760966617,273919460629.88995,745434.5836869266,0.9999551048596939
2023,44,La Guajira,323615.4076947843,26.675716936498723,323615.4076947843,289079066111.1247,893279.6746926453,1.0
2024,44,La Guajira,331294.377495861,24.816292562639465,331294.377495861,295624921297.6225,892333.0469178152,1.0
2010,47,Magdalena,391449.7493849413,23.344743942567362,391180.78578753,436455405467.78253,1114971.733034842,0.9993129038967737
2011,47,Magdalena,370747.36563555594,25.122714603479448,370444.16903613415,406583835694.08435,1096660.080098197,0.9991822016080896
2012,47,Magdalena,401425.82608391886,24.218638448725386,400876.0053819263,452341535947.4044,1126837.1553474527,0.9986303305211918
2013,47,Magdalena,406411.3925222052,25.193067440958416,405950.7417622924,466421718367.32324,1147659.0640648422,0.998866540730923
2014,47,Magdalena,424610.63240295416,23.8529993080078,424074.4632352536,492266332548.6308,1159335.859685849,0.998737268624984
2015,47,Magdalena,426991.98826677795,24.622423228382267,426806.83111037256,495207454142.1041,1159758.1869210768,0.9995663685467332
2016,47,Magdalena,388644.680489259,27.96633091251556,388635.5680670702,389651116083.5607,1002589.6034213944,0.9999765533335556
2017,47,Magdalena,372315.9672917897,29.517811616766636,372244.38195326284,382617295975.69604,1027668.2430754656,0.9998077296038427
2018,47,Magdalena,394800.1331016357,28.491223273208774,394800.1331016357,442067108302.4056,1119723.8076629564,1.0
2019,47,Magdalena,487171.75375196047,23.65659860315327,486796.2870650036,574255239106.2213,1178753.149548565,0.9992292929874008
2021,47,Magdalena,479966.4981025765,25.189009795530396,479914.2482385462,519721173751.7196,1082828.021968831,0.999891138518549
2022,47,Magdalena,533606.258465449,24.04857727087386,533029.7807623545,582616407107.6696,1091847.0274002491,0.9989196571555358
2023,47,Magdalena,573466.0102476231,22.490722120537377,573115.3070186762,649483725201.1562,1132558.3619519293,0.999388449842397
