depto,departamento,ocupados_inicio,ocupados_fin,horas_sem_inicio,horas_sem_fin,rem_trabajador_inicio,rem_trabajador_fin,rem_hora_inicio,rem_hora_fin,crec_ocupados,crec_rem_trabajador,crec_rem_hora,share_ocupados_remuneracion_valida_fin,ranking_rem_trabajador,ranking_rem_hora,ranking_crec_rem_trabajador,ranking_crec_rem_hora,rem_trabajador_rel_lider,rem_hora_rel_lider
41,Huila,364681.4185772146,467605.97177084093,43.53035836468116,43.999819249357145,1132732.853326648,1404532.3448039342,6005.002004332593,7366.458643023708,0.015658952239544943,0.013532701035679162,0.012853422375370904,0.9999653404828732,15,15,14,20,0.48543250322473197,0.49350006671189894
44,La Guajira,264207.11939930456,348363.9258438963,46.3871873517265,43.72991394704819,1253093.7493433368,1015443.427396074,6233.951595837168,5358.645318022194,0.017432347731529685,-0.013057137556982679,-0.009411631529663733,1.0,23,24,24,24,0.35095613615988897,0.358990927673745
47,Magdalena,338790.2650158678,594008.2057770757,50.062966561386546,43.69173100813589,1110458.1381949882,1226093.97537865,5118.745211362326,6475.933935788256,0.035717573340801945,0.006210506928109094,0.014807529931104124,0.9992410014851516,18,20,19,17,0.42376088372667986,0.4338412776348047
50,Meta,303870.3348576224,524442.8747610816,49.64604053369554,46.76763147524772,1431244.8272640759,1795703.881276685,6652.842085281711,8860.683988045554,0.03469682824812548,0.014279270133506827,0.01807260676434863,0.9995221659422897,7,10,12,13,0.6206286621759446,0.5936024827010574
52,Nariño,551087.7351483845,849082.5809281862,42.41690534671133,37.15201473550702,1050874.3697177381,1102229.1895350565,5717.283426327681,6846.48151685027,0.02738465331488671,0.0029864577553331273,0.011328758949876283,0.999942513709612,21,19,23,23,0.38095090980483004,0.4586653165435436
54,Norte de Santander,486266.7765832507,673286.7145479275,48.288491878793444,45.61940945784548,1312222.5667194594,1504874.775915164,6271.071647463546,7612.52279608887,0.020546600596698994,0.008598467143279498,0.012189150167739804,0.9999296455576363,14,14,17,21,0.5201127138259191,0.5099846058694038
63,Quindío,201908.8030565862,256407.09811340953,48.4030630110098,42.82034478425123,1200209.1637634123,1707516.2324869868,5722.18632983752,9202.219400202508,0.015046467958523602,0.022278539705221867,0.030138602287366867,0.9998994255032433,9,8,3,2,0.5901493704288665,0.6164829136994115
66,Risaralda,376312.49513736874,449847.63761151687,48.89077534260024,44.9518557772631,1273161.5948071717,1821781.652712492,6009.446972762043,9352.475962485312,0.01121802034347974,0.022647120066484616,0.028029922821441122,0.9999058247978169,6,7,2,3,0.6296416250410848,0.6265490291972143
68,Santander,807653.4740548292,1045570.2664773326,47.83607812878247,45.4180536549711,1599603.6675769635,1936101.5685946438,7716.755268034169,9837.336339197896,0.016267436283434744,0.012004011699556338,0.01529015407227341,0.9997015829975002,4,5,15,15,0.669152714365881,0.6590312081992267
70,Sucre,245021.32790444238,403195.9914862028,45.78688115552529,38.748169244439225,944557.3486715591,1007487.3901417025,4760.638140649069,6000.208385743706,0.03161944552923557,0.004039284388992481,0.014568379136605136,1.0,24,23,22,18,0.3482063816993194,0.40197106671522304
73,Tolima,450371.8240781985,580409.6244525462,47.0862645719781,44.344418426153204,1158113.6093931186,1577036.976603991,5675.901225387857,8206.931625264,0.015980124662885453,0.01948459903955846,0.023314490962987877,0.9997703084779094,11,12,5,5,0.5450533126296245,0.5498057480310954
76,Valle del Cauca,1410107.6795825013,2011697.4232403866,46.28695748337219,44.01473125744488,1419244.7653195777,1906583.3160043794,7075.816613863888,9996.216099975829,0.022455460993751508,0.018620484135635218,0.02183010046350331,0.999689835127728,5,4,8,9,0.6589506572194418,0.6696750163494746
