anio,depto,departamento,pib_miles_millones_2015,ocupados,ocupados_horas_validas,horas_sem_expandidas_validas,horas_semanales_promedio,share_ocupados_sin_horas_validas,horas_sem_expandidas,horas_anuales,horas_mensuales,pib_pesos_2015,pib_trabajador,pib_hora
2015,8,Atlántico,35716.29568989337,845442.316008528,844713.0913764063,38816675.205754064,45.952496299666386,0.0008625362349551358,38850184.89796326,2020209614.6940897,168350801.22450748,35716295689893.37,42.24569200476724,17.67949990442042
2016,8,Atlántico,36347.380065247504,934004.403009619,933421.3840880989,41963905.23556473,44.95708578238879,0.0006242143180925641,41990116.067232266,2183486035.496078,181957169.62467316,36347380065247.5,38.915641027093926,16.64649073745486
2017,8,Atlántico,36779.304586598766,937428.5944082356,936913.7556343799,42243521.96883298,45.08795149477775,0.0005492031893700178,42266734.99449621,2197870219.713803,183155851.6428169,36779304586598.766,39.2342465399364,16.734065668075708
2018,8,Atlántico,37609.64597709261,966033.1301276636,965775.8092112031,43322668.33876341,44.85789344231678,0.00026636862487983137,43334211.213014476,2253378983.0767527,187781581.9230627,37609645977092.61,38.93204570750322,16.69033316612396
2019,8,Atlántico,38689.99370682553,1069738.2888898475,1068225.3857145675,48783007.0166395,45.667335441581095,0.0014142741182519014,48852097.273435645,2540309058.2186537,211692421.51822114,38689993706825.53,36.16771887914493,15.23042780233843
2021,8,Atlántico,40607.357145230155,990511.3807259536,989412.2459330023,43582290.70104234,44.048667155867705,0.001109663971902819,43630706.12369648,2268796718.432217,189066393.20268476,40607357145230.16,40.99635595854406,17.89819106107075
2022,8,Atlántico,44372.49262887849,1166496.5446337063,1164606.2179608345,51114007.70805422,43.889519839205576,0.0016205163072003925,51196973.23806581,2662242608.379422,221853550.6982852,44372492628878.49,38.03911193137051,16.667336210913255
2023,8,Atlántico,44673.47437505063,1233057.3922895016,1231657.257106489,55913471.74797009,45.396940930893905,0.0011354987949204753,55977033.602168575,2910805747.312766,242567145.60939717,44673474375050.63,36.22984189900711,15.347459862717686
2024,8,Atlántico,45132.440414469056,1209186.9753406516,1208997.0785044276,54377998.03449156,44.97777455488898,0.00015704505597280427,54386539.17157993,2828100036.9221563,235675003.07684636,45132440414469.055,37.32461673411125,15.958572831669366
2014,11,Bogotá D.C.,198995.5951380746,3620902.1725722044,3615591.7681449205,170456716.40212783,47.144901120732825,0.001466597045208684,170707074.89376324,8876767894.475689,739730657.872974,198995595138074.6,54.957462437244686,22.417573322145355
2015,11,Bogotá D.C.,206478.40891632767,3617817.5869811964,3612144.9615248144,170698855.60950276,47.25692280562426,0.0015679688983754048,170966926.43280023,8890280174.505611,740856681.2088009,206478408916327.66,57.072642263486465,23.2251858055542
2016,11,Bogotá D.C.,210682.96893131113,3535659.2854017583,3533192.6754986467,165830857.31327367,46.9351299359494,0.0006976378955110274,165946627.96957752,8629224654.418032,719102054.5348359,210682968931311.12,59.588029254173776,24.415052031754055
2017,11,Bogotá D.C.,214483.69005150103,3329229.5413709898,3327453.192911413,156504099.396453,47.03420012935389,0.0005335614253997312,156587648.5254002,8142557723.32081,678546476.9434009,214483690051501.03,64.42442234342778,26.341070869808625
2018,11,Bogotá D.C.,221651.98815448463,3406080.6571038486,3403189.430188113,160744807.5323053,47.23357627595242,0.0008488427629291806,160881370.51936078,8365831267.006761,697152605.5838968,221651988154484.62,65.07537855634716,26.49491497977466
2019,11,Bogotá D.C.,229313.76178465533,3568694.8330839546,3567192.9723888845,167599753.34547457,46.983652031932564,0.0004208431276182534,167670316.24577218,8718856444.780153,726571370.3983461,229313761784655.34,64.25703864022734,26.300898889319598
2021,11,Bogotá D.C.,237631.21138542914,3134441.084553535,3129469.8939425983,147266139.4239826,47.05785465743924,0.0015859894880253522,147500072.9892265,7670003795.439777,639166982.9533148,237631211385429.12,75.81294558588806,30.981889673472317
2022,11,Bogotá D.C.,260391.4394270662,3588029.8763249717,3585460.633995056,170640626.99749246,47.59238614408052,0.0007160593469046628,170762903.37055552,8879670975.268887,739972581.2724072,260391439427066.2,72.57226065624941,29.324446835056435
2023,11,Bogotá D.C.,261972.88307518672,3808991.2263876526,3803993.5766082336,176621975.2523889,46.43067126571515,0.0013120664980261765,176854019.48639828,9196409013.292711,766367417.7743926,261972883075186.72,68.77749711270272,28.48643233424316
2024,11,Bogotá D.C.,267051.3678142882,3964950.027902832,3962574.062326514,179756511.67696062,45.36357146885013,0.0005992422501158723,179864293.96118945,9352943285.981852,779411940.4984876,267051367814288.2,67.35302234200888,28.552655527650163
2014,13,Bolívar,27792.85110444693,655328.3124304536,654753.235016821,29348971.91853759,44.824477908510985,0.0008775409252498312,29374749.463360652,1527486972.094754,127290581.00789617,27792851104446.93,42.41057585528389,18.195147724456575
2015,13,Bolívar,28105.21128828678,714401.2321527441,714371.5550481892,30790909.277031165,43.102093104692706,4.154122812105587e-05,30792188.422354765,1601193797.962448,133432816.49687065,28105211288286.78,39.340933390604356,17.552660598642863
2016,13,Bolívar,29284.661306104183,683619.3151373923,683379.5176962774,30219664.850882933,44.2209110286999,0.0003507762811919557,30230268.912191384,1571973983.4339519,130997831.95282932,29284661306104.184,42.83767391829562,18.629227719235093
2017,13,Bolívar,30271.190343724826,721236.337314258,721236.337314258,32052893.34473109,44.441595197615456,0.0,32052893.34473109,1666750453.9260166,138895871.1605014,30271190343724.824,41.97124961347451,18.161801169707974
2018,13,Bolívar,30804.08827574953,743474.7918268009,743243.0675328398,32253017.512930106,43.39497927641958,0.00031167740521731435,32263073.18386439,1677679805.5609481,139806650.46341234,30804088275749.53,41.432592758202915,18.36112479487699
2019,13,Bolívar,31919.755993308096,930911.235658458,930911.235658458,39544240.13120447,42.479066334647676,0.0,39544240.13120447,2056300486.8226326,171358373.90188605,31919755993308.094,34.28872138462311,15.52290445771866
2021,13,Bolívar,32660.56437121709,749763.8753457139,748941.0089795777,32199180.658999033,42.9929464042435,0.0010975006841411616,32234558.108576182,1676197021.6459615,139683085.13716346,32660564371217.09,43.56113363845037,19.48491970182936
2022,13,Bolívar,35424.40371121257,818789.4617195129,818696.8532651266,34480924.25350634,42.11683984858318,0.00011310411127163356,34484824.62894836,1793210880.7053146,149434240.05877623,35424403711212.57,43.26436204591464,19.754733864474026
2023,13,Bolívar,35647.24251460941,903077.9337434726,903036.767290132,38252322.132975854,42.35965081218666,4.5584607709203695e-05,38254065.929564536,1989211428.3373559,165767619.02811298,35647242514609.41,39.47305230551157,17.920288415195998
2024,13,Bolívar,35907.28967549529,796377.3261698836,796331.6851065172,34931283.72752252,43.86524406956144,5.7310852364378384e-05,34933285.78390668,1816530860.7631476,151377571.7302623,35907289675495.29,45.088287292392764,19.766958245019953
2014,15,Boyacá,20986.058056684422,511818.69847736997,511318.12511744426,22110799.163814574,43.2427447369208,0.0009780286679929029,22132445.329839945,1150887157.1516771,95907263.09597309,20986058056684.42,41.002913959800004,18.2346791570971
2015,15,Boyacá,22164.683372837735,536271.3137202064,535434.7584560397,23273609.673845135,43.46675165608612,0.0015599478151522295,23309972.01375926,1212118544.7154815,101009878.72629012,22164683372837.734,41.33110014607627,18.2859040227294
2016,15,Boyacá,22341.244463173196,525760.6487047566,525490.9889960688,22470548.12591816,42.76105317970783,0.000512894430863442,22482079.059061784,1169068111.0712128,97422342.58926773,22341244463173.195,42.49318490878352,19.110301830662372
2017,15,Boyacá,22574.436274817897,543437.4982666218,543414.7236774118,23514465.882295754,43.271676047288494,4.1908387409250736e-05,23515451.37694216,1222803471.6009924,101900289.3000827,22574436274817.9,41.54007838403232,18.461213759281886
2018,15,Boyacá,23236.7077751753,566618.7979658268,566258.5207800118,24049899.434147846,42.471589480047925,0.0006358369808916464,24065200.978882812,1251390450.9019063,104282537.57515885,23236707775175.297,41.009419134337854,18.568711115246295
2019,15,Boyacá,23732.383798024865,550387.2513943772,550137.6057348934,22888775.491341352,41.60554605381996,0.00045358183506505334,22899162.135324143,1190756431.0368555,99229702.58640462,23732383798024.863,43.11942861666965,19.93051070684523
2021,15,Boyacá,23270.35090533265,405784.0604399958,405532.96424073033,17160351.48411081,42.3155526117087,0.0006187926627605478,17170976.758541428,892890791.4441543,74407565.95367952,23270350905332.65,57.34663623825039,26.061810837689762
2022,15,Boyacá,24835.37666562782,510273.9424686432,509786.22444788617,21261014.440447807,41.70574531211416,0.0009557964461157642,21281355.084005628,1106630464.3682926,92219205.36402439,24835376665627.82,48.670673923652245,22.44233957521205
2023,15,Boyacá,24919.72722798641,518280.7512190068,518280.7512190068,21367849.28327635,41.22832891829136,0.0,21367849.28327635,1111128162.73037,92594013.56086417,24919727227986.41,48.08152178018325,22.42741032389214
