depto,departamento,pib_2014,pib_2024,ocupados_2014,ocupados_2024,horas_2014,horas_2024,horas_sem_2014,horas_sem_2024,pib_trabajador_2014,pib_trabajador_2024,pib_hora_2014,pib_hora_2024,crec_pib,crec_ocupados,crec_horas,crec_horas_por_trabajador,crec_pib_trabajador,crec_pib_hora
99,Vichada,489.90750437631243,640.1519018187548,6063.055784236426,6943.32428233031,13863543.265329897,16785758.313345097,43.97231540397584,46.49113758216503,80.80207766684943,92.19674550529676,35337.8277832824,38136.60901514459,0.02710985159809365,0.01364898188216812,0.019310909380320762,0.005585688536518196,0.013279616471306266,0.007651190766234439
52,Nariño,11569.079276205677,14662.831531486238,619344.9242966219,824688.2288883963,1327098170.4512236,1607104920.5842505,41.20663246172134,37.47581543518292,18.679541596864556,17.779848211548238,8717.576087285315,9123.75498555233,0.023981015103586856,0.029048209394181512,0.01932838490050459,-0.009445451053648135,-0.0049241563654028875,0.004564407576598928
19,Cauca,13898.553682667705,17418.488066932117,510662.2042522689,653618.4184819818,1047167943.8580934,1271309015.8729014,39.43476706618753,37.40446966293999,27.216726765628756,26.649322562522446,13272.516375416437,13701.222794343435,0.022831476873009793,0.024988650659330647,0.01958509679391951,-0.005271818241046278,-0.0021045830945866095,0.0031840207249975716
23,Córdoba,13683.779018080728,17032.132414305022,631624.0728066363,774002.029012392,1316131368.181329,1597892902.674379,40.071649749518194,39.70107120523195,21.664435551476902,22.005281350538073,10396.970506819085,10659.120136148356,0.022130381394521947,0.02053603109380364,0.01958829898764658,-0.0009286610930738792,0.0015622675262230157,0.002493243997993222
5,Antioquia,111128.94804581454,149161.5915012637,2310905.774353146,3130339.2561002993,5578602780.567411,7333905550.220076,46.42371138358024,45.05474763532178,48.0889135676339,47.65029579799781,19920.57015296425,20338.630008234515,0.029871359120481777,0.030815444742597453,0.02773462250559766,-0.0029887233963292736,-0.0009158628995430407,0.002079074274713877
91,Amazonas,562.6006944249419,723.4015869922182,11100.542801846786,14405.725199169787,26356831.395691555,33208460.6775893,45.661023183524996,44.33128044373627,50.68226882845248,50.2162561752815,21345.536038786056,21783.65308815428,0.02545809868404514,0.02640578475122446,0.023376770297846017,-0.002951088641918176,-0.0009233054618931202,0.002033785060015836
47,Magdalena,10128.23712088042,13126.113447441481,424610.63240295416,550091.0381352282,1004413676.9299986,1279938027.6959229,45.49025897905146,44.74567141422022,23.8529993080078,23.861711130466922,10083.730790920219,10255.272648684733,0.026266681171318806,0.026229206397181182,0.02453696551869644,-0.0016489892004006856,3.651696317352737e-05,0.0016882901357753166
95,Guaviare,647.2151446967969,810.5084162106315,14987.864333672549,20755.49725219247,37459515.88124047,47558272.366682716,48.06390619576375,44.064574786380234,43.18261296525938,39.05030105337587,17277.723149137622,17042.427655097894,0.022753291318734936,0.03309280979841733,0.0241566539099074,-0.008649906188248124,-0.010008315208098417,-0.0013702616546159563
44,La Guajira,8720.613786502312,8221.498196294806,327326.18814675946,331294.377495861,754939541.0804366,740271837.8718154,44.35351836618525,42.970837566744265,26.641967866599025,24.816292562639465,11551.406850436988,11106.052906092627,-0.005876383022996645,0.001205741036966801,-0.00196009657536933,-0.0031620250289987606,-0.0070735951360291205,-0.0039239778231202616
81,Arauca,4309.532798854145,4959.993820668658,24467.03835557965,28966.777300403457,59354169.136655726,74288161.42220853,46.651593583281894,49.31920710657472,176.13626693282907,171.23043303127733,72607.0781806746,66766.94813429401,0.014156770870772606,0.017025583342861195,0.022696660961220916,0.005576140572314037,-0.0028207869291342336,-0.008350364694084123
41,Huila,13915.06204359526,15353.680484528884,385504.44524862897,485561.0025486689,896890095.5831947,1079353305.8470302,44.74108318621085,42.748067151730574,36.095723966609036,31.620497535713756,15514.790621639228,14224.888552576374,0.00988689178947122,0.023343513031430785,0.018690930924218252,-0.004546451946942254,-0.013149661937170376,-0.008642502713516409
20,Cesar,14390.724653960997,15193.05583498387,375681.4254301906,466649.8886965541,933796453.7247175,1097849233.4933186,47.80013834734457,45.24266644198344,38.30565920974736,32.55771875874887,15410.986619792166,13838.92739683398,0.005440203727990367,0.021920577765630833,0.01631666807282084,-0.005483703738564993,-0.01612686386418971,-0.010701845877874816
94,Guainía,291.88383692139314,340.66665968126017,6496.575731561519,8785.140523281752,15174052.457937492,20050490.234143544,44.91730923669896,43.890743652278886,44.92887468445409,38.777599376862526,19235.720828730216,16990.440418316874,0.015574899629384742,0.03063864004678285,0.028258578596692674,-0.002309307411550443,-0.014615928252713739,-0.01233510639378066
8,Atlántico,33772.29157519511,45132.440414469056,757054.86887733,1209186.9753406516,1850350189.3161573,2827655897.793561,47.00274570536446,44.97071101776647,44.61009758153663,37.32461673411125,18251.83782518297,15961.079440283453,0.02942053826044555,0.04794046478395364,0.043319351948225115,-0.004409709321303135,-0.017672689571469502,-0.013321725185894473
25,Cundinamarca,46230.44792279673,60506.329392063584,965222.6841272218,1497470.1840930174,2280254452.4224834,3483620091.5108614,45.4310159542324,44.73724737837934,47.89614736893533,40.405698914607,20274.2496012595,17368.808251941653,0.027276304392146233,0.04489599942883693,0.043289285956532364,-0.001537677886778055,-0.01686263039223257,-0.01534855363697607
50,Meta,29878.124081089773,32066.04600507523,361230.27541229775,508097.8658874078,935902421.7950001,1237699050.100493,49.824515609925434,46.8451186427523,82.71212607245545,63.109979706509776,31924.400861988874,25907.78913700522,0.007092144671698275,0.0347044642351777,0.02834407148850482,-0.006147062244845181,-0.026686189649224534,-0.020666163598380805
97,Vaupés,224.751000735887,280.5192993552313,2743.4991708854354,4792.27741292061,6500971.412742045,10720074.155469365,45.56906097912967,43.018225878314766,81.92129347841245,58.53569716121073,34571.91032948863,26167.66407461004,0.02241240726589111,0.05736203224790137,0.051288595902237555,-0.005743951608279341,-0.033053603133175735,-0.02746742307383665
85,Casanare,13429.612168509564,13130.556138201273,58025.18134637739,79471.39571872605,141283643.53902185,193759138.23468894,46.824380069788724,46.88652111927133,231.44455315602386,165.2236760088421,95054.25987120987,67767.41607044624,-0.0022494749710975093,0.03195184868157841,0.03208871820687942,0.0001326316973762065,-0.033142363857743384,-0.033270582821247285
