"anio","educacion","tamano_empresa","workers","mean_income","worker_share","year","education_chr","education_en","education_es"
2025,"Media","11-19",342174.433410746,8551.40016236644,0.0437576396039707,"2025","Media","Upper secondary","Media"
2025,"Media","20-30",281637.098538924,7981.95077314848,0.0360160592190731,"2025","Media","Upper secondary","Media"
2025,"Media","31-50",231495.560793988,8797.41852471595,0.0296039047048927,"2025","Media","Upper secondary","Media"
2025,"Media","51-100",266916.286232788,8463.64913039827,0.0341335456918384,"2025","Media","Upper secondary","Media"
2025,"Media","101+",1715719.2138378,8774.40529122767,0.219408043647146,"2025","Media","Upper secondary","Media"
2025,"Ninguno","Solo",432100.631081854,3689.12465079079,0.653108659471919,"2025","Ninguno","No education","Ninguno"
2025,"Ninguno","2-3",133557.016236993,5111.11652666195,0.201867892715686,"2025","Ninguno","No education","Ninguno"
2025,"Ninguno","4-5",45776.6808410795,5802.52636229803,0.0691902406722655,"2025","Ninguno","No education","Ninguno"
2025,"Ninguno","6-10",22797.6537817223,6399.01606251609,0.0344580498834426,"2025","Ninguno","No education","Ninguno"
2025,"Ninguno","11-19",6622.45386284533,5448.09909817655,0.010009663614581,"2025","Ninguno","No education","Ninguno"
2025,"Ninguno","20-30",4938.93122821156,5801.70596908045,0.00746506374129827,"2025","Ninguno","No education","Ninguno"
2025,"Ninguno","31-50",2738.56813808397,6055.45379573436,0.00413927320832289,"2025","Ninguno","No education","Ninguno"
2025,"Ninguno","51-100",3863.13569584722,6507.47254250424,0.00583902728712967,"2025","Ninguno","No education","Ninguno"
2025,"Ninguno","101+",9210.96484453526,7794.29068893699,0.0139221294053556,"2025","Ninguno","No education","Ninguno"
2025,"Preescolar","Solo",630.494494691608,3289.30368258195,0.341164990476507,"2025","Preescolar","Preschool","Preescolar"
2025,"Preescolar","2-3",508.030691117698,3675.72089482337,0.274898967962788,"2025","Preescolar","Preschool","Preescolar"
2025,"Preescolar","11-19",576.530445013694,4126.45307583625,0.311964664939256,"2025","Preescolar","Preschool","Preescolar"
2025,"Preescolar","31-50",82.2436839058712,18461.5384615385,0.0445026338417493,"2025","Preescolar","Preschool","Preescolar"
2025,"Preescolar","101+",50.7639751502953,10889.7435897436,0.0274687427796991,"2025","Preescolar","Preschool","Preescolar"
2025,"Superior o universitaria","Solo",1307577.40829114,12468.4242336738,0.172848851154442,"2025","Superior o universitaria","Higher education","Superior o universitaria"
2025,"Superior o universitaria","2-3",528702.499348556,11424.2554939744,0.0698892616493816,"2025","Superior o universitaria","Higher education","Superior o universitaria"
2025,"Superior o universitaria","4-5",319755.24283236,12691.518310575,0.0422684928813612,"2025","Superior o universitaria","Higher education","Superior o universitaria"
2025,"Superior o universitaria","6-10",390469.08101203,14576.9514811806,0.0516161656176553,"2025","Superior o universitaria","Higher education","Superior o universitaria"
2025,"Superior o universitaria","11-19",338985.35065647,17141.7261430464,0.0448105236811419,"2025","Superior o universitaria","Higher education","Superior o universitaria"
2025,"Superior o universitaria","20-30",336398.286149696,15257.2893275506,0.0444685392410446,"2025","Superior o universitaria","Higher education","Superior o universitaria"
2025,"Superior o universitaria","31-50",346382.730395235,16600.9507536043,0.0457883844037967,"2025","Superior o universitaria","Higher education","Superior o universitaria"
2025,"Superior o universitaria","51-100",420785.46451323,17503.3750151527,0.055623692840222,"2025","Superior o universitaria","Higher education","Superior o universitaria"
2025,"Superior o universitaria","101+",3575804.21535073,21671.5790780949,0.472686088530955,"2025","Superior o universitaria","Higher education","Superior o universitaria"
