anio,depto,departamento,pib_miles_millones_2015,ocupados,horas_sem_expandidas,horas_anuales,pib_pesos_2015,pib_por_trabajador_millones_2015,pib_por_hora_pesos_2015,horas_semanales_por_trabajador
2013,19,Cauca,13290.91160137233,498471.5495433232,20120626.833376,1046272595.3355521,13290911601372.33,26.66333036168033,12703.105921559358,40.36464438503982
2014,19,Cauca,13898.553682667705,510662.2042522689,20137845.074194103,1047167943.8580934,13898553682667.705,27.216726765628756,13272.516375416437,39.43476706618753
2015,19,Cauca,14622.036080438851,518882.58847436414,20373529.894039344,1059423554.4900459,14622036080438.852,28.179854952217706,13801.879350773144,39.26423885978189
2016,19,Cauca,14975.410181087638,536745.5522223647,20636135.083864003,1073079024.3609282,14975410181087.639,27.900389894397442,13955.552052661022,38.44677426467951
2017,19,Cauca,14876.340419595921,548289.2133049099,20965730.33878903,1090217977.6170297,14876340419595.922,27.13228722835191,13645.289955786862,38.23845122251156
2018,19,Cauca,15139.076982949136,570582.5931866079,22189561.49223731,1153857197.5963402,15139076982949.137,26.532665320895852,13120.407806517249,38.88930674928644
2019,19,Cauca,15614.343442382113,555847.7722853567,21648831.98204997,1125739263.0665984,15614343442382.113,28.09104258560588,13870.301902633712,38.94741161422891
2021,19,Cauca,16097.326233148051,514765.261823874,21248141.796158116,1104903373.400222,16097326233148.05,31.271197625327954,14568.99003178011,41.27734206631086
2022,19,Cauca,16946.403871795344,593729.7026402155,23723439.41041215,1233618849.3414319,16946403871795.344,28.542287502945452,13737.147321348237,39.95663229398501
2023,19,Cauca,17012.028145833985,639628.0630046007,24858048.38173567,1292618515.850255,17012028145833.984,26.596750720913292,13160.903961401063,38.86328605559771
2024,19,Cauca,17418.488066932117,653618.4184819818,24448250.305248104,1271309015.8729014,17418488066932.117,26.649322562522446,13701.222794343435,37.40446966293999
2010,20,Cesar,11558.931327489556,353503.7225172694,17340979.16738229,901730916.703879,11558931327489.557,32.69818842409751,12818.603769005975,49.05458715936194
2011,20,Cesar,12872.709612456101,371646.07300841936,18311221.181019355,952183501.4130064,12872709612456.102,34.63701232802877,13519.147930365794,49.27058971131528
2012,20,Cesar,13696.899076784619,384693.74924318935,18557571.993980117,964993743.6869661,13696899076784.62,35.60468321549446,14193.769821193526,48.23985840811959
2013,20,Cesar,13588.262504157838,377634.64872438216,18613877.262225956,967921617.6357497,13588262504157.838,35.98256290850916,14038.598019278252,49.2907028661222
2014,20,Cesar,14390.724653960997,375681.4254301906,17957624.11009072,933796453.7247175,14390724653960.996,38.30565920974736,15410.986619792166,47.80013834734457
2015,20,Cesar,14570.402494107215,390228.7216468001,18652368.69722097,969923172.2554904,14570402494107.215,37.338108872711395,15022.223317156899,47.798554187673076
2016,20,Cesar,15676.321843809406,392542.4653051769,18285894.30246745,950866503.7283075,15676321843809.406,39.93535280729961,16486.354059526977,46.583225812910015
2017,20,Cesar,16122.610931878282,416587.6666263348,18665583.86263439,970610360.8569883,16122610931878.281,38.70160406438466,16610.796239227268,44.805896472630806
2018,20,Cesar,16090.234940349326,389292.3896747871,17445551.17776386,907168661.2437208,16090234940349.326,41.332004855761575,17736.762332915852,44.81349145391151
2019,20,Cesar,16646.45002566045,438458.24496114114,20475649.574220277,1064733777.8594544,16646450025660.451,37.965872958178174,15634.377693104232,46.69920068679505
2021,20,Cesar,14778.482104742114,416789.94119099126,18527623.508406464,963436422.4371362,14778482104742.113,35.457866527469704,15339.343376035176,44.45314456357358
2022,20,Cesar,15594.363043981533,448083.5718313853,20791733.224660873,1081170127.6823654,15594363043981.533,34.802353900735554,14423.597771250083,46.401462878190145
2023,20,Cesar,15890.31818585795,471891.1698380464,21463405.833440483,1116097103.338905,15890318185857.95,33.673692583210496,14237.39756901136,45.48380475270759
2024,20,Cesar,15193.05583498387,466649.8886965541,21112485.259486895,1097849233.4933186,15193055834983.871,32.55771875874887,13838.92739683398,45.24266644198344
2010,27,Chocó,3793.911356124453,199424.21845789676,9498989.522652963,493947455.1779541,3793911356124.453,19.02432605960263,7680.7994784741295,47.63207596402554
2011,27,Chocó,4031.154379957144,213435.00782216116,10051596.692781538,522683028.02463996,4031154379957.144,18.887034611098066,7712.426391941523,47.09441433879841
2012,27,Chocó,3876.946414465895,199817.13312273816,8735008.39953233,454220436.77568114,3876946414465.895,19.40247242004254,8535.385245953921,43.71501213645593
2013,27,Chocó,3546.783206298733,187067.64200738654,8621047.459102452,448294467.8733275,3546783206298.733,18.95989690274005,7911.726466588767,46.08518804530631
2014,27,Chocó,3471.6562487517144,147373.91591592142,6114349.293357138,317946163.25457114,3471656248751.7144,23.556789050325133,10919.006580280859,41.488680377099065
2015,27,Chocó,3570.631209841738,148479.09775274008,6700393.661126352,348420470.3785703,3570631209841.738,24.048039514544023,10248.052320123814,45.12684790342957
2016,27,Chocó,3765.2208688075475,136778.1611556517,5908988.277917822,307267390.45172673,3765220868807.5474,27.5279389413839,12253.890213576316,43.201255434290225
2017,27,Chocó,3482.398323555387,169353.22435467487,7565636.324505273,393413088.8742742,3482398323555.3867,20.562928971828917,8851.760203301932,44.673707001058524
2018,27,Chocó,3201.860110136186,198841.6654735614,8696978.72636981,452242893.7712301,3201860110136.186,16.10256131435348,7079.956709625751,43.73821103166221
2019,27,Chocó,3340.9158841057924,213202.1022463767,9715191.490438169,505189957.5027848,3340915884105.7925,15.670182652537942,6613.187444620524,45.56799106610721
2021,27,Chocó,3546.1677732149274,127009.90199345381,5399269.229820275,280761999.95065427,3546167773214.9272,27.920403980767574,12630.511870688302,42.51061645649138
2022,27,Chocó,3624.0748396385557,143303.69900274277,6168134.48878177,320742993.416652,3624074839638.5557,25.289471694440998,11298.99924245829,43.04239549785602
2023,27,Chocó,3713.970579743413,130222.81313351083,5796063.25466652,301395289.24265903,3713970579743.413,28.520122476049323,12322.590008210862,44.50881619892599
2024,27,Chocó,3769.7102564905877,131819.79348657696,6077138.960616764,316011225.9520717,3769710256490.588,28.597452300473012,11929.039055917356,46.10186983213254
2010,25,Cundinamarca,38164.356792697385,902924.6650400647,41347595.79016454,2150074981.088556,38164356792697.38,42.267487278137374,17750.24458606334,45.79296301350883
2011,25,Cundinamarca,41523.67442662403,916011.923158216,41479671.898817174,2156942938.738493,41523674426624.03,45.33093224754013,19251.169644251004,45.28289517870466
2012,25,Cundinamarca,43035.53685319445,936699.4093231842,42112041.45639729,2189826155.732659,43035536853194.445,45.94380697249499,19652.490103167973,44.95790329026204
2013,25,Cundinamarca,44776.212539391556,950855.6800863887,42948384.04356181,2233315970.265214,44776212539391.555,47.090440197321506,20049.206263489097,45.16814164654282
2014,25,Cundinamarca,46230.44792279673,965222.6841272218,43851047.16197084,2280254452.4224834,46230447922796.734,47.89614736893533,20274.2496012595,45.4310159542324
2015,25,Cundinamarca,48055.14651495274,991150.7432435409,44287207.64238281,2302934797.403906,48055146514952.74,48.48419561054081,20866.915802012812,44.68261558020218
2016,25,Cundinamarca,49600.649347074606,990807.2944562166,44583776.32324756,2318356368.808873,49600649347074.61,50.060843944731815,21394.747595495195,44.997424395948165
2017,25,Cundinamarca,50408.732976475134,1001218.54984153,45849394.65021103,2384168521.8109736,50408732976475.13,50.34738218189593,21143.108180199244,45.793592874870264
2018,25,Cundinamarca,51551.400703454856,987279.3411311205,45685985.67357911,2375671255.026114,51551400703454.86,52.215617764666995,21699.7198557627,46.27462944908473
