depto,departamento,ocupados_inicio,ocupados_fin,horas_sem_inicio,horas_sem_fin,rem_trabajador_inicio,rem_trabajador_fin,rem_hora_inicio,rem_hora_fin,crec_ocupados,crec_rem_trabajador,crec_rem_hora,share_ocupados_remuneracion_valida_fin,ranking_rem_trabajador,ranking_rem_hora,ranking_crec_rem_trabajador,ranking_crec_rem_hora,rem_trabajador_rel_lider,rem_hora_rel_lider,rem_trabajador_brecha_lider,rem_hora_brecha_lider
25,Cundinamarca,902924.6650400647,1706608.0129832893,45.87435449986113,43.971877228199176,1287543.951593701,1986618.8578103834,6476.941867198449,10425.993488277676,0.04335511840291284,0.029335219396903423,0.032245892349949346,0.9992984687778147,3,3,1,1,0.6863726981894765,0.698223158904229,0.31362730181052345,0.30177684109577096
27,Chocó,199424.21845789676,137366.38913717508,47.67876934841913,44.167617256392276,997285.8293236702,1217817.226190146,4826.946811656928,6362.913871355486,-0.024545899037638708,0.013407617232782165,0.018588813021035877,1.0,19,21,11,12,0.4207533277737246,0.4261209090614234,0.5792466722262755,0.5738790909385766
41,Huila,364173.5576786011,467605.97177084093,44.19046750198724,43.999819249357145,1192525.0466185892,1404581.0269040922,6227.544156866801,7366.713969772712,0.016806021264718085,0.0109708168436089,0.011262259219310344,0.9999653404828732,15,15,16,23,0.4852798338602727,0.4933448600847261,0.5147201661397274,0.5066551399152739
44,La Guajira,271571.4127948123,348363.9258438963,44.743764978034186,43.72991394704819,1158698.0709609487,1015443.427396074,5976.069797897405,5358.645318022194,0.016740074863440535,-0.008759518618713935,-0.007243764778335771,1.0,23,24,24,24,0.35083359970155736,0.3588655858651314,0.6491664002984426,0.6411344141348686
47,Magdalena,391449.7493849413,594008.2057770757,49.47654646062927,43.69173100813589,1115738.3525090711,1227025.2857482142,5204.043122798276,6480.852893509381,0.028192492178626738,0.006358556195873222,0.014735260723344634,0.9992410014851516,18,20,22,18,0.4239346932677211,0.4340192217449058,0.576065306732279,0.5659807782550942
50,Meta,339224.6313782941,524442.8747610816,50.28670560686086,46.76763147524772,1506813.4127954268,1796562.3399495124,6914.872787691982,8864.919948715926,0.029470850363145784,0.011794204851602874,0.01669973000446312,0.9995221659422897,7,10,14,16,0.6207085651526837,0.5936789061862398,0.3792914348473163,0.40632109381376025
52,Nariño,596192.2221348764,849082.5809281862,42.72999190273912,37.15201473550702,968049.6577232918,1102292.5562450374,5228.086056456772,6846.875118301571,0.023852924251775987,0.00869518855112461,0.018145810630439962,0.999942513709612,21,19,20,13,0.3808397937277082,0.45853153266385066,0.6191602062722918,0.5414684673361494
54,Norte de Santander,522222.97659854864,673286.7145479275,47.82189981656348,45.61940945784548,1286989.5610788725,1504980.657990125,6210.49335466455,7613.058408567889,0.01708270936952405,0.010486214235291724,0.013667534779069346,0.9999296455576363,14,14,18,21,0.5199676983264852,0.5098424142437085,0.48003230167351485,0.49015758575629154
63,Quindío,254039.902530443,256407.09811340953,48.287741264801625,42.82034478425123,1385982.2186463887,1707687.9823464286,6623.669736443054,9203.145001879651,0.0006185283535713459,0.014012691951880596,0.02216853077467551,0.9998994255032433,9,8,10,4,0.5900026587891857,0.6163296555182863,0.4099973412108143,0.38367034448171367
66,Risaralda,418703.329710254,449847.63761151687,47.74345796963061,44.9518557772631,1230220.9398198214,1821953.2355268158,5946.304520694877,9353.356816754622,0.004794545014541685,0.02652675714370023,0.030658265270002483,0.9999058247978169,6,7,2,2,0.629481066953079,0.6263892597185634,0.37051893304692096,0.3736107402814366
68,Santander,875956.21370853,1045570.2664773326,47.19970214486412,45.4180536549711,1650471.0280136995,1936679.5066878323,8069.4985822716035,9840.27284392376,0.011870003914513205,0.010717976602072632,0.013313991731837227,0.9997015829975002,4,5,17,22,0.6691187558738395,0.6589977633583729,0.3308812441261605,0.3410022366416271
70,Sucre,298255.95407794014,403195.9914862028,45.44576874016974,38.748169244439225,961998.9629398845,1007487.3901417025,4884.937956439677,6000.2083857437065,0.020301375726659243,0.0030848420366746954,0.01380357595990822,1.0,24,23,23,20,0.34808480531872454,0.4018307183759519,0.6519151946812755,0.598169281624048
73,Tolima,491270.9001795661,580409.6244525462,46.27121896192689,44.344418426153204,1210094.5669662554,1577399.2918482802,6035.125044071221,8208.817120963078,0.011177904172470665,0.01782900326099157,0.02071920735200239,0.9997703084779094,11,12,5,8,0.5449881862399056,0.5497400537905754,0.45501181376009436,0.45025994620942456
76,Valle del Cauca,1576468.7412397896,2011697.4232403866,46.939862422369316,44.01473125744488,1466842.6213203396,1907174.8546495722,7211.400415615679,9999.317537022507,0.016385560178825198,0.017654754809453888,0.02202938652039199,0.999689835127728,5,4,6,5,0.6589249597417709,0.669648900647804,0.3410750402582291,0.330351099352196
