"anio","sector","tamano_empresa","workers","mean_income","worker_share","year","sector_chr","sector_label_en","sector_label_es"
2008,"Electricidad, gas, agua y saneamiento","4-5",468.192025730202,6043.00993478066,0.0100190332849955,"2008","Electricidad, gas, agua y saneamiento","D/E - Utilities and water","D/E - Servicios publicos y agua"
2008,"Electricidad, gas, agua y saneamiento","6-10",1204.42070001688,6924.10343360137,0.0257738928034637,"2008","Electricidad, gas, agua y saneamiento","D/E - Utilities and water","D/E - Servicios publicos y agua"
2008,"Electricidad, gas, agua y saneamiento","11-19",2987.54026612705,8307.77802149295,0.0639316001162307,"2008","Electricidad, gas, agua y saneamiento","D/E - Utilities and water","D/E - Servicios publicos y agua"
2008,"Electricidad, gas, agua y saneamiento","20-30",2421.69803004551,6625.71641797036,0.0518229099083711,"2008","Electricidad, gas, agua y saneamiento","D/E - Utilities and water","D/E - Servicios publicos y agua"
2008,"Electricidad, gas, agua y saneamiento","31-50",2397.29600028425,6700.04445575575,0.0513007208599391,"2008","Electricidad, gas, agua y saneamiento","D/E - Utilities and water","D/E - Servicios publicos y agua"
2008,"Electricidad, gas, agua y saneamiento","51-100",2376.83162620564,7209.76364612359,0.0508627953213091,"2008","Electricidad, gas, agua y saneamiento","D/E - Utilities and water","D/E - Servicios publicos y agua"
2008,"Electricidad, gas, agua y saneamiento","101+",32277.4871083512,13614.1638920324,0.690719191960222,"2008","Electricidad, gas, agua y saneamiento","D/E - Utilities and water","D/E - Servicios publicos y agua"
2008,"Hogares como empleadores","Solo",254696.353543144,4217.32787566325,0.866208507204391,"2008","Hogares como empleadores","T - Household employers","T - Hogares empleadores"
2008,"Hogares como empleadores","2-3",35445.2718536931,4856.15581781164,0.120547450298068,"2008","Hogares como empleadores","T - Household employers","T - Hogares empleadores"
2008,"Hogares como empleadores","4-5",1892.76050286243,4780.69672719092,0.00643717598179972,"2008","Hogares como empleadores","T - Household employers","T - Hogares empleadores"
2008,"Hogares como empleadores","6-10",1689.62791056197,4363.54297129863,0.00574633303452787,"2008","Hogares como empleadores","T - Household employers","T - Hogares empleadores"
2008,"Hogares como empleadores","11-19",23.723814412115,5593.63749908162,0.0000806834082280299,"2008","Hogares como empleadores","T - Household employers","T - Hogares empleadores"
2008,"Hogares como empleadores","20-30",52.9101211464137,2181.79814201222,0.000179944457062967,"2008","Hogares como empleadores","T - Household employers","T - Hogares empleadores"
2008,"Hogares como empleadores","31-50",17.8727602013297,5679.29007328631,0.0000607842896776823,"2008","Hogares como empleadores","T - Household employers","T - Hogares empleadores"
2008,"Hogares como empleadores","101+",217.328166434429,10068.5474983469,0.000739121326245236,"2008","Hogares como empleadores","T - Household employers","T - Hogares empleadores"
2008,"Industrias manufactureras","Solo",248592.641981553,4651.88664860376,0.233267434561008,"2008","Industrias manufactureras","C - Manufacturing","C - Manufactura"
2008,"Industrias manufactureras","2-3",154686.815699563,6921.9459009834,0.145150702655656,"2008","Industrias manufactureras","C - Manufacturing","C - Manufactura"
2008,"Industrias manufactureras","4-5",90389.475948151,6851.70872181602,0.0848171570874722,"2008","Industrias manufactureras","C - Manufacturing","C - Manufactura"
2008,"Industrias manufactureras","6-10",91251.0611227465,7293.65670357819,0.0856256273693424,"2008","Industrias manufactureras","C - Manufacturing","C - Manufactura"
2008,"Industrias manufactureras","11-19",53266.4267745583,6733.62657274675,0.0499826649046798,"2008","Industrias manufactureras","C - Manufacturing","C - Manufactura"
2008,"Industrias manufactureras","20-30",52269.596654534,7575.05582694307,0.0490472872404911,"2008","Industrias manufactureras","C - Manufacturing","C - Manufactura"
2008,"Industrias manufactureras","31-50",49845.4868136376,8403.38842430377,0.0467726186132436,"2008","Industrias manufactureras","C - Manufacturing","C - Manufactura"
2008,"Industrias manufactureras","51-100",54348.3040964305,8892.28998084167,0.0509978467916867,"2008","Industrias manufactureras","C - Manufacturing","C - Manufactura"
2008,"Industrias manufactureras","101+",271048.205933452,11015.3147925186,0.25433866077642,"2008","Industrias manufactureras","C - Manufacturing","C - Manufactura"
2008,"Información y comunicaciones","Solo",67022.5838352775,4307.59198029192,0.349453045409405,"2008","Información y comunicaciones","J - Information and communication","J - Informacion y comunicaciones"
2008,"Información y comunicaciones","2-3",38659.6982526956,5399.30569967953,0.201570105417247,"2008","Información y comunicaciones","J - Information and communication","J - Informacion y comunicaciones"
2008,"Información y comunicaciones","4-5",5742.40859460988,8738.22805702664,0.0299406865050663,"2008","Información y comunicaciones","J - Information and communication","J - Informacion y comunicaciones"
2008,"Información y comunicaciones","6-10",5243.22977607954,10918.787353232,0.0273379883045907,"2008","Información y comunicaciones","J - Information and communication","J - Informacion y comunicaciones"
2008,"Información y comunicaciones","11-19",5566.48692956318,7800.34136416058,0.029023438048111,"2008","Información y comunicaciones","J - Information and communication","J - Informacion y comunicaciones"
2008,"Información y comunicaciones","20-30",5076.33318421134,7750.98042663512,0.0264677962147105,"2008","Información y comunicaciones","J - Information and communication","J - Informacion y comunicaciones"
2008,"Información y comunicaciones","31-50",4472.95359699156,22625.5524889718,0.0233217994144373,"2008","Información y comunicaciones","J - Information and communication","J - Informacion y comunicaciones"
2008,"Información y comunicaciones","51-100",6280.18837448267,9728.79296569466,0.0327446485590811,"2008","Información y comunicaciones","J - Information and communication","J - Informacion y comunicaciones"
2008,"Información y comunicaciones","101+",53728.934018201,12350.3664046856,0.280140492127352,"2008","Información y comunicaciones","J - Information and communication","J - Informacion y comunicaciones"
2008,"Inmobiliarias, profesionales y administrativas","Solo",181857.275648731,11275.2204576954,0.387345413272777,"2008","Inmobiliarias, profesionales y administrativas","L/M/N - Business services","L/M/N - Servicios empresariales"
2008,"Inmobiliarias, profesionales y administrativas","2-3",59878.0160122141,10947.2490944446,0.12753668928267,"2008","Inmobiliarias, profesionales y administrativas","L/M/N - Business services","L/M/N - Servicios empresariales"
2008,"Inmobiliarias, profesionales y administrativas","4-5",30345.4572224128,10690.1290245145,0.0646340578172458,"2008","Inmobiliarias, profesionales y administrativas","L/M/N - Business services","L/M/N - Servicios empresariales"
2008,"Inmobiliarias, profesionales y administrativas","6-10",36827.892561649,10220.4131284864,0.0784412678204383,"2008","Inmobiliarias, profesionales y administrativas","L/M/N - Business services","L/M/N - Servicios empresariales"
2008,"Inmobiliarias, profesionales y administrativas","11-19",23131.920911306,15276.821588681,0.049269645293103,"2008","Inmobiliarias, profesionales y administrativas","L/M/N - Business services","L/M/N - Servicios empresariales"
2008,"Inmobiliarias, profesionales y administrativas","20-30",20530.0043958096,10664.0785940713,0.0437277145432828,"2008","Inmobiliarias, profesionales y administrativas","L/M/N - Business services","L/M/N - Servicios empresariales"
2008,"Inmobiliarias, profesionales y administrativas","31-50",17354.543814439,10533.2290498037,0.0369641683126759,"2008","Inmobiliarias, profesionales y administrativas","L/M/N - Business services","L/M/N - Servicios empresariales"
2008,"Inmobiliarias, profesionales y administrativas","51-100",22747.9720302332,13435.8227373607,0.0484518565217478,"2008","Inmobiliarias, profesionales y administrativas","L/M/N - Business services","L/M/N - Servicios empresariales"
2008,"Inmobiliarias, profesionales y administrativas","101+",76823.3136872711,10805.7041021881,0.16362918713606,"2008","Inmobiliarias, profesionales y administrativas","L/M/N - Business services","L/M/N - Servicios empresariales"
2008,"Minas y canteras","Solo",23295.2454786451,3191.33632699407,0.241829352476324,"2008","Minas y canteras","B - Mining","B - Minas"
2008,"Minas y canteras","2-3",7194.50103013568,4105.82551293842,0.0746865503994315,"2008","Minas y canteras","B - Mining","B - Minas"
2008,"Minas y canteras","4-5",4994.15209846073,5640.24232499038,0.0518445950374795,"2008","Minas y canteras","B - Mining","B - Minas"
2008,"Minas y canteras","6-10",8767.21399740812,6956.41301647964,0.0910129788483294,"2008","Minas y canteras","B - Mining","B - Minas"
2008,"Minas y canteras","11-19",4941.98329756971,5930.32071979082,0.051303027559665,"2008","Minas y canteras","B - Mining","B - Minas"
2008,"Minas y canteras","20-30",5130.10158752461,8443.77244557181,0.0532558949072294,"2008","Minas y canteras","B - Mining","B - Minas"
2008,"Minas y canteras","31-50",4347.59621703061,8869.47733159318,0.0451326593212692,"2008","Minas y canteras","B - Mining","B - Minas"
2008,"Minas y canteras","51-100",7879.21332880085,8252.97864859689,0.0817945901910947,"2008","Minas y canteras","B - Mining","B - Minas"
2008,"Minas y canteras","101+",29779.2649907632,17139.5802511677,0.309140351259178,"2008","Minas y canteras","B - Mining","B - Minas"
2008,"Organizaciones extraterritoriales","6-10",54.6449169431732,5244.03515538903,0.106723898223757,"2008","Organizaciones extraterritoriales","U - Extraterritorial orgs.","U - Org. extraterritoriales"
2008,"Organizaciones extraterritoriales","20-30",10.0893687714238,50342.7374917346,0.0197049757989962,"2008","Organizaciones extraterritoriales","U - Extraterritorial orgs.","U - Org. extraterritoriales"
2008,"Organizaciones extraterritoriales","51-100",115.279878501359,134247.299977959,0.225146613969976,"2008","Organizaciones extraterritoriales","U - Extraterritorial orgs.","U - Org. extraterritoriales"
2008,"Organizaciones extraterritoriales","101+",332.007209184452,39219.1334359431,0.648424512007271,"2008","Organizaciones extraterritoriales","U - Extraterritorial orgs.","U - Org. extraterritoriales"
2008,"Salud y asistencia social","Solo",62018.1747193717,8196.82762803213,0.203354876796919,"2008","Salud y asistencia social","Q - Health","Q - Salud"
2008,"Salud y asistencia social","2-3",27594.6186593294,16990.7443407765,0.0904815451779672,"2008","Salud y asistencia social","Q - Health","Q - Salud"
2008,"Salud y asistencia social","4-5",5674.80964027955,9336.32572550043,0.0186074520971763,"2008","Salud y asistencia social","Q - Health","Q - Salud"
2008,"Salud y asistencia social","6-10",11007.7644557502,12055.0006223155,0.0360939772064814,"2008","Salud y asistencia social","Q - Health","Q - Salud"
2008,"Salud y asistencia social","11-19",11580.9298981671,11830.6139123285,0.0379733615716993,"2008","Salud y asistencia social","Q - Health","Q - Salud"
2008,"Salud y asistencia social","20-30",13929.5554677351,9622.812066577,0.0456744018796853,"2008","Salud y asistencia social","Q - Health","Q - Salud"
2008,"Salud y asistencia social","31-50",11235.4811345969,11773.1655460981,0.0368406502161439,"2008","Salud y asistencia social","Q - Health","Q - Salud"
