anio,pib_miles_millones_2015,ocupados,horas_sem_expandidas,horas_anuales,group_code,group_name,group_label_short,group_order,sector_code,dane_groups,pib_pesos_2015,pib_por_trabajador_millones_2015,pib_por_hora_pesos_2015
2021,36980.0,231026.1621088288,10673638.942030106,555029224.9855655,B,Minas,Minas,1,B,B,36980000000000.0,160.06845139287708,66627.12220417173
2022,37518.0,267899.6882894834,12432560.293436844,646493135.2587159,B,Minas,Minas,1,B,B,37518000000000.0,140.04495578008778,58033.09881238865
2023,38481.0,266077.72842279804,12447036.770742185,647245912.0785936,B,Minas,Minas,1,B,B,38481000000000.0,144.62315289633565,59453.446181560954
2024,37168.0,279681.8355761561,13067981.786497824,679535052.8978869,B,Minas,Minas,1,B,B,37168000000000.0,132.8938646424155,54696.22183800017
2025,34717.51991331087,299823.92017377104,13782698.184378482,716700305.587681,B,Minas,Minas,1,B,B,34717519913310.867,115.79302909917726,48440.77732720253
2010,23932.0,597890.3662379812,27157524.380547255,1412191267.7884574,C01,"Alimentos, bebidas y tabaco","Alimentos, bebidas y tabaco",2,C,C01,23932000000000.0,40.02740527596029,16946.712917633584
2011,24803.0,614324.6785566962,27684590.45208848,1439598703.508601,C01,"Alimentos, bebidas y tabaco","Alimentos, bebidas y tabaco",2,C,C01,24803000000000.0,40.37441578657161,17229.106930667513
2012,25068.000000000004,608153.1354544178,27255566.448554482,1417289455.3248332,C01,"Alimentos, bebidas y tabaco","Alimentos, bebidas y tabaco",2,C,C01,25068000000000.004,41.219881208486996,17687.28321925925
2013,25935.0,523496.4188698601,23683992.905711826,1231567631.097015,C01,"Alimentos, bebidas y tabaco","Alimentos, bebidas y tabaco",2,C,C01,25935000000000.0,49.54188618135968,21058.526828038248
2014,26659.999999999996,530271.006138224,24486880.01833049,1273317760.9531853,C01,"Alimentos, bebidas y tabaco","Alimentos, bebidas y tabaco",2,C,C01,26659999999999.996,50.27617895640822,20937.42883162389
2015,27219.0,523683.94548614416,24390390.36964231,1268300299.2214,C01,"Alimentos, bebidas y tabaco","Alimentos, bebidas y tabaco",2,C,C01,27219000000000.0,51.9760062049108,21461.005738711516
2016,27871.0,472902.4126220864,22480112.24438496,1168965836.7080178,C01,"Alimentos, bebidas y tabaco","Alimentos, bebidas y tabaco",2,C,C01,27871000000000.0,58.93604950218923,23842.44186167912
2017,27923.999999999996,536213.5547065029,25132295.464608856,1306879364.1596606,C01,"Alimentos, bebidas y tabaco","Alimentos, bebidas y tabaco",2,C,C01,27923999999999.996,52.07626654511601,21366.930082299885
2018,28594.0,597046.6148897866,27136062.96525871,1411075274.1934528,C01,"Alimentos, bebidas y tabaco","Alimentos, bebidas y tabaco",2,C,C01,28594000000000.0,47.8924078738448,20263.979195825577
2019,29391.0,574217.7726873294,25817626.450400043,1342516575.4208024,C01,"Alimentos, bebidas y tabaco","Alimentos, bebidas y tabaco",2,C,C01,29391000000000.0,51.18441364580308,21892.467130834193
2021,30075.0,432419.3198512832,19531437.154264357,1015634732.0217465,C01,"Alimentos, bebidas y tabaco","Alimentos, bebidas y tabaco",2,C,C01,30075000000000.0,69.5505464703643,29612.023941059986
2022,32252.0,526035.0110441843,24402476.872606676,1268928797.3755472,C01,"Alimentos, bebidas y tabaco","Alimentos, bebidas y tabaco",2,C,C01,32252000000000.0,61.31150840317545,25416.71374052269
2023,32056.999999999996,587317.3969080156,26932285.108813006,1400478825.6582763,C01,"Alimentos, bebidas y tabaco","Alimentos, bebidas y tabaco",2,C,C01,32056999999999.996,54.58207124251199,22890.028333653692
2024,32379.000000000004,605258.9875132598,27466816.43832314,1428274454.7928033,C01,"Alimentos, bebidas y tabaco","Alimentos, bebidas y tabaco",2,C,C01,32379000000000.004,53.49610772907467,22670.01267952885
2025,33458.195769954255,658697.2624801123,29476915.466762863,1532799604.271669,C01,"Alimentos, bebidas y tabaco","Alimentos, bebidas y tabaco",2,C,C01,33458195769954.254,50.79449646409368,21828.160495808832
2010,9642.0,615042.3450456902,28332443.510665324,1473287062.5545967,C02,"Textiles, confecciones y cuero","Textiles, confecciones y cuero",3,C,C02,9642000000000.0,15.676969362627734,6544.54942628853
2011,10422.0,646162.1800130641,29694168.10086173,1544096741.2448099,C02,"Textiles, confecciones y cuero","Textiles, confecciones y cuero",3,C,C02,10422000000000.0,16.129077687260015,6749.577096832715
2012,10355.000000000002,673110.4873091623,30917643.262083307,1607717449.6283321,C02,"Textiles, confecciones y cuero","Textiles, confecciones y cuero",3,C,C02,10355000000000.002,15.383804286567162,6440.8083661677265
2013,10128.0,650347.4242923816,29489529.54680385,1533455536.4338002,C02,"Textiles, confecciones y cuero","Textiles, confecciones y cuero",3,C,C02,10128000000000.0,15.573214595290962,6604.691012791703
2014,10303.0,674218.4615194757,30997936.00636424,1611892672.3309407,C02,"Textiles, confecciones y cuero","Textiles, confecciones y cuero",3,C,C02,10303000000000.0,15.281397036770974,6391.8647791238745
2015,10343.0,670309.7372872517,30183559.87504712,1569545113.5024502,C02,"Textiles, confecciones y cuero","Textiles, confecciones y cuero",3,C,C02,10343000000000.0,15.430180146059334,6589.807397711256
2016,10814.999999999998,667970.5517745406,30086683.880959157,1564507561.8098762,C02,"Textiles, confecciones y cuero","Textiles, confecciones y cuero",3,C,C02,10814999999999.998,16.190833519933935,6912.718266116166
2017,10510.000000000002,640600.5593194328,29121200.86337798,1514302444.895655,C02,"Textiles, confecciones y cuero","Textiles, confecciones y cuero",3,C,C02,10510000000000.002,16.406479587163822,6940.489355628167
2018,10397.0,623271.3565339574,28174072.12430703,1465051750.4639654,C02,"Textiles, confecciones y cuero","Textiles, confecciones y cuero",3,C,C02,10397000000000.0,16.68133773677364,7096.677640709543
2019,10473.0,630918.9518118696,28377316.07827217,1475620436.0701528,C02,"Textiles, confecciones y cuero","Textiles, confecciones y cuero",3,C,C02,10473000000000.0,16.599596461516484,7097.353590393147
2021,11683.0,567834.1737387141,24324500.76709394,1264874039.888885,C02,"Textiles, confecciones y cuero","Textiles, confecciones y cuero",3,C,C02,11683000000000.0,20.574668697865075,9236.492829773242
2022,13106.0,648355.6740522385,28906833.306343317,1503155331.9298525,C02,"Textiles, confecciones y cuero","Textiles, confecciones y cuero",3,C,C02,13106000000000.0,20.214213470342887,8718.992456470636
2023,11641.0,626794.5185070585,27452993.55486887,1427555664.8531814,C02,"Textiles, confecciones y cuero","Textiles, confecciones y cuero",3,C,C02,11641000000000.0,18.57227473483227,8154.4981303389195
2024,11291.0,626827.552993502,27020790.130462646,1405081086.7840576,C02,"Textiles, confecciones y cuero","Textiles, confecciones y cuero",3,C,C02,11291000000000.0,18.012928669262003,8035.835160120746
2025,11916.225372851644,680920.0403536807,29335325.017734483,1525436900.9221933,C02,"Textiles, confecciones y cuero","Textiles, confecciones y cuero",3,C,C02,11916225372851.645,17.500183085611884,7811.680290182941
2010,5406.0,143425.7515516847,6610697.85707774,343756288.5680425,C03,"Madera, papel e impresión","Madera, papel e impresión",4,C,C03,5406000000000.0,37.69197610271473,15726.257758132462
2011,5541.0,139083.26727207057,6392651.658814944,332417886.2583771,C03,"Madera, papel e impresión","Madera, papel e impresión",4,C,C03,5541000000000.0,39.83944372805723,16668.778152608702
2012,5671.000000000002,132115.35520782694,6015807.03359053,312821965.74670756,C03,"Madera, papel e impresión","Madera, papel e impresión",4,C,C03,5671000000000.002,42.924609263466095,18128.522357639744
2013,5660.0,134324.6379950462,6143333.496822633,319453341.83477694,C03,"Madera, papel e impresión","Madera, papel e impresión",4,C,C03,5660000000000.0,42.13672252895806,17717.767381902624
2014,5782.0,121642.37310098158,5638704.176687438,293212617.18774676,C03,"Madera, papel e impresión","Madera, papel e impresión",4,C,C03,5782000000000.0,47.532778690531345,19719.478839131032
2015,6057.0,113420.19948170401,5248701.962048588,272932502.0265266,C03,"Madera, papel e impresión","Madera, papel e impresión",4,C,C03,6057000000000.0,53.403185919956556,22192.300129250692
2016,6414.0,106506.7116771475,4889050.330351642,254230617.17828542,C03,"Madera, papel e impresión","Madera, papel e impresión",4,C,C03,6414000000000.0,60.22155692349868,25229.06198784872
2017,6404.0,102623.8804827674,4535326.631822188,235836984.8547538,C03,"Madera, papel e impresión","Madera, papel e impresión",4,C,C03,6404000000000.0,62.40262958167285,27154.349874105057
2018,6431.0,108095.30227062925,4795929.292733581,249388323.22214618,C03,"Madera, papel e impresión","Madera, papel e impresión",4,C,C03,6431000000000.0,59.493797278065216,25787.093464963455
2019,6389.0,103294.98800095984,4623295.3012811635,240411355.66662052,C03,"Madera, papel e impresión","Madera, papel e impresión",4,C,C03,6389000000000.0,61.85198453133691,26575.28377677656
