anio,depto,ocupados,ocupados_horas_validas,horas_sem_expandidas_validas,horas_semanales_promedio,share_ocupados_sin_horas_validas,horas_sem_expandidas,horas_anuales,horas_mensuales,departamento,ocupados_remuneracion_valida,rem_total_mensual,rem_por_trabajador,rem_por_hora,share_ocupados_remuneracion_valida
2025,17,466839.7189306313,466788.4457754854,20361370.90066547,43.62012617265772,0.00010983031877265237,20363607.442162205,1058907586.9924346,88242298.91603622,Caldas,466788.4457754854,833197136154.7987,1784760.5984841345,9442.151285605076,0.9998901696812273
2014,18,188742.1580393684,188667.38600522344,8930008.236004498,47.332018665681105,0.0003961596864298089,8933547.347320318,464544462.06065655,38712038.50505471,Caquetá,188667.38600522344,254377175545.8993,1347749.6399762502,6571.009571420134,0.9996038403135702
2015,18,188419.35728416714,188325.23954339506,8983600.31786778,47.702582721514204,0.0004995120571934519,8988089.977182522,467380678.81349117,38948389.90112426,Caquetá,188325.23954339506,237311370103.38223,1259485.0843561576,6092.969971437308,0.9995004879428065
2016,18,202724.91575901207,202610.82700985824,9277271.709403511,45.7886276183657,0.0005627761576650903,9282495.67665396,482689775.18600595,40224147.932167165,Caquetá,202610.82700985824,278439310414.07086,1373483.4190044196,6922.1928798497565,0.9994372238423349
2017,18,206916.49401315025,206885.4748160598,9619180.282809634,46.49519397803045,0.00014991166962485813,9620622.526395397,500272371.3725607,41689364.281046726,Caquetá,206885.4748160598,272520346913.70615,1317054.7288336838,6536.927382162129,0.9998500883303751
2018,18,213114.93259362754,213075.83661347232,9756215.16976931,45.78752487766811,0.0001834502147710637,9758005.277933285,507416274.4525308,42284689.5377109,Caquetá,213075.83661347232,271200493149.70297,1272555.094329473,6413.680604367151,0.9998165497852289
2019,18,207086.71687910456,207079.58887015155,9220647.443853691,44.52707045712488,3.442040639023425e-05,9220964.83321056,479490171.3269491,39957514.27724576,Caquetá,207079.58887015155,268136813197.3724,1294804.5014104326,6710.547891865882,0.9999655795936098
2021,18,142593.7691457844,142428.5813856376,6667350.35270786,46.81188486077409,0.0011584500580661405,6675083.103116261,347104321.3620456,28925360.1135038,Caquetá,142428.5813856376,196407634109.62567,1377392.8221844202,6790.153461838244,0.9988415499419339
2022,18,150180.76345014572,149719.92604557672,7051542.450990994,47.09822291018506,0.003068551484105231,7073247.073796736,367808847.8374303,30650737.31978586,Caquetá,149719.92604557672,205783001204.19644,1370235.4181499986,6713.8026422404555,0.9969314485158948
2023,18,155221.94692061108,154839.46535617486,7137730.179762086,46.097615768326726,0.0024640946207938885,7155361.6679579355,372078806.73381263,31006567.227817718,Caquetá,154839.46535617486,213646422413.36337,1376393.1367426652,6890.360382160889,0.9975359053792061
2024,18,156651.94694931235,156440.18067859873,7156454.95222333,45.74563210794312,0.0013518266120378097,7166142.334136265,372639401.3750858,31053283.447923813,Caquetá,156440.18067859873,230894294264.9557,1473931.8518630723,7435.42288055188,0.9986481733879622
2025,18,153617.57973122044,153506.77030685297,7109628.37333716,46.314754451059976,0.0007213329656758916,7114760.484617602,369967545.2001153,30830628.766676277,Caquetá,153506.77030685297,240411157437.82748,1564997.690098144,7797.8026091274305,0.9992786670343241
2014,85,58025.18134637739,57967.56074907157,2716993.1449811896,46.8709241836557,0.0009930274403082695,2719693.8756289277,141424081.53270423,11785340.127725353,Casanare,57967.56074907157,123085071839.17882,2121235.4530084245,10443.913413208807,0.9990069725596917
2015,85,63188.87827597086,63188.87827597086,2848390.859593919,45.077408197592426,0.0,2848390.859593919,148116324.6988838,12343027.058240317,Casanare,63188.87827597086,141610373453.17746,2241064.841105564,11472.90472466696,1.0
2016,85,61202.9114610654,61171.31799139712,2716705.8118356303,44.41143171408693,0.0005162086069774308,2718108.9230564144,141341663.99893355,11778471.99991113,Casanare,61171.31799139712,118892849733.18991,1942601.2079314939,10094.080941406235,0.9994837913930226
2017,85,63882.47742004754,63862.04509493248,2872988.4245183202,44.98741655152999,0.0003198424034294156,2873907.6220393875,149443196.34604815,12453599.695504012,Casanare,63862.04509493248,114735782962.1088,1796044.668206661,9213.061746599307,0.9996801575965706
2018,85,65414.16734794654,65414.16734794654,2930252.690079566,44.79538315443454,0.0,2930252.690079566,152373139.88413745,12697761.657011455,Casanare,65414.16734794654,120293670558.53355,1838954.395286815,9473.612263946516,1.0
2019,85,69584.33161802702,69584.33161802702,3161720.114678483,45.43724199341716,0.0,3161720.1146784825,164409445.9632811,13700787.163606757,Casanare,69584.33161802702,137499463149.72852,1976011.839914072,10035.880530643286,1.0
2021,85,68714.8213845833,68163.17141612592,3270374.9494864214,47.97862073525415,0.008028107435074316,3296842.354101653,171435802.41328597,14286316.86777383,Casanare,68163.17141612592,163605359516.5309,2380932.617154951,11451.892116825542,0.9919718925649257
2022,85,75859.16766039531,75794.33147112529,3544216.829936981,46.76097487959493,0.0008546915457902093,3547248.6333547253,184456928.9344457,15371410.744537143,Casanare,75794.33147112529,172557376188.6314,2274706.9538270254,11225.864629891352,0.9991453084542098
2023,85,78420.64936562817,78420.64936562817,3675117.9202096825,46.86416077830248,0.0,3675117.9202096825,191106131.85090348,15925510.98757529,Casanare,78420.64936562817,148102331586.91653,1888562.9331683384,9299.691024197748,1.0
2024,85,79471.39571872605,79471.39571872605,3726137.2737440183,46.88652111927133,0.0,3726137.2737440183,193759138.23468894,16146594.852890745,Casanare,79471.39571872605,168893229029.3709,2125207.787052545,10459.990516151072,1.0
2025,85,79768.55404136505,79768.55404136505,3724349.6417990983,46.68944656897989,0.0,3724349.641799098,193666181.3735531,16138848.447796091,Casanare,79768.55404136505,166820138805.72437,2091302.0276037292,10336.55773801539,1.0
2014,19,510662.2042522689,510628.5640182909,20137845.074194103,39.437365030509255,6.587570745963944e-05,20139171.756381202,1047236931.3318225,87269744.27765188,Cauca,510628.5640182909,529839936778.8745,1037554.6346820133,6071.290126543392,0.9999341242925404
2015,19,518882.58847436414,518861.24966050364,20373529.894039344,39.26585365041224,4.1124551747317994e-05,20374367.780781463,1059467124.600636,88288927.050053,Cauca,518861.24966050364,508264562625.16376,979536.7466840238,5756.832477271097,0.9999588754482527
2016,19,536745.5522223647,536735.0494183428,20636135.083864003,38.44752658919384,1.956756600673959e-05,20636538.8907009,1073100022.3164468,89425001.8597039,Cauca,536735.0494183428,515574403456.89545,960556.4523491414,5765.439113613485,0.9999804324339933
2017,19,548289.2133049099,548038.7056579316,20965730.33878903,38.255929959580584,0.0004568896139106604,20975313.74178617,1090716314.572881,90893026.21440674,Cauca,548038.7056579316,527032985202.3618,961231.7229908238,5798.387479795738,0.9995431103860893
