anio,rama_ptf,dln_V,dln_L,dln_K,wL_bar,wK_bar,aporte_L,aporte_K,dln_T
2024,E_ElectricidadGasAgua,0.02459023758249934,-0.03919620017395602,0.010553560622128089,0.18313565137302207,0.816864348626978,-0.007178221650204796,0.008620827423289986,0.023147631809414152
2015,F_Construccion,0.06109875610691873,0.17955690923990864,0.002500277138945961,0.43393980440779545,0.5660601955922047,0.07791689007563424,0.0014153073663064686,-0.01823344133502198
2016,F_Construccion,0.03525884200983853,0.015265327943555467,0.04814677094118025,0.42540286639221414,0.574597133607786,0.006493914263605659,0.027664996575272816,0.0010999311709600562
2017,F_Construccion,-0.020464486385414205,-0.03843930149119672,0.047630913823573096,0.4388658535208637,0.5611341464791364,-0.016869696857679858,0.026727332174411988,-0.030322121702146338
2018,F_Construccion,-0.012831295411636745,-0.02635233521266056,-0.013260971254274168,0.46515374003135807,0.5348462599686419,-0.012257887282729113,-0.007092580878900208,0.006519172749992576
2019,F_Construccion,-0.03969632923561406,0.07915105000690643,0.015298577251748213,0.46961030288166905,0.530389697118331,0.03717014856714546,0.008114207754896123,-0.08498068555765564
2022,F_Construccion,0.06431454861059827,0.14993970304131315,0.015529603727477692,0.6937288246310072,0.30627117536899295,0.10401749395637243,0.0047562699866292866,-0.04445921533240345
2023,F_Construccion,-0.03140256975897948,0.02646498225404007,-0.003056646149778075,0.6255365825426414,0.37446341745735856,0.01655481455624388,-0.0011446021632037751,-0.04681278215201959
2024,F_Construccion,8.403884956749152e-4,-0.02714917110082202,-0.0011743670508472803,0.5719084335760342,0.42809156642396584,-0.015526839917158856,-5.027366303539054e-4,0.016869965043187676
2015,G-H_ComercioHotelesRest,0.031547991116191554,-0.03470499834933839,0.08129508130772045,0.91201638773431,0.08798361226568999,-0.03165152723088879,0.007152634912886218,0.05604688343419413
2016,G-H_ComercioHotelesRest,0.03680150843244867,0.019108085991782577,0.014875593901614081,0.8692757752113224,0.13072422478867765,0.016610196263311408,0.0019446004810596816,0.01824671168807758
2017,G-H_ComercioHotelesRest,0.017700223067734555,-0.015980493720349993,0.022227148701482236,0.8242165711747671,0.17578342882523293,-0.013171387739866768,0.003907164411754871,0.026964446395846452
2018,G-H_ComercioHotelesRest,0.027156223437398097,0.028929680703052928,0.03573242206022087,0.8201640302082895,0.17983596979171043,0.023727083518054873,0.006425974774206528,-0.002996834854863302
2019,G-H_ComercioHotelesRest,0.037845239905827555,0.07665222473191384,0.05217129088374328,0.8136014565760178,0.1863985434239822,0.062364361691677354,0.00972465262927863,-0.03424377441512843
2022,G-H_ComercioHotelesRest,0.09440532023950965,0.1935227640133262,0.08149434067684957,0.7478219076754729,0.2521780923245271,0.14472056256307594,0.020551087367133035,-0.07086632969069934
2023,G-H_ComercioHotelesRest,-0.051439156893110294,0.039279705697743326,0.010438605098476827,0.6853496700659084,0.3146503299340916,0.026920333340234373,0.0032845105382874242,-0.08164400077163209
2024,G-H_ComercioHotelesRest,0.014080024042641526,0.009687741349500956,0.012190555355683586,0.6978241118597273,0.30217588814027274,0.00676033950314226,0.003683691891526846,0.003635992647972419
2015,I_TransporteComunicaciones,0.02675344228572385,0.0024743269500075347,0.03159205996178649,0.7588656922514883,0.24113430774851177,0.0018776818337739815,0.007617929509234861,0.017257830942715005
2016,I_TransporteComunicaciones,-0.0010985866473891548,-0.036272246268614895,0.03795209493383567,0.7185939757070583,0.28140602429294165,-0.026065017653989487,0.010679948148918988,0.014286482857681344
2017,I_TransporteComunicaciones,0.01221367291402764,-0.010713503539049816,0.03643602109150024,0.7121993494800468,0.2878006505199532,-0.0076301502511634586,0.010486310572492503,0.009357512592698595
2018,I_TransporteComunicaciones,0.02818203789360041,8.388270377559537e-4,0.0498475593630765,0.7241321784250137,0.2758678215749864,6.0742165017202e-4,0.01375133761232173,0.013823278631106658
2019,I_TransporteComunicaciones,0.025005786292036092,0.08391484027570176,0.049989763086296435,0.7389869084304967,0.26101309156950325,0.062011968386779776,0.013047982609981265,-0.05005416470472495
2022,I_TransporteComunicaciones,0.14809008629094222,0.2140003922775046,0.07204625988139313,0.770773537971337,0.22922646202866304,0.1649458394829862,0.01651490925500935,-0.033370662447053306
2023,I_TransporteComunicaciones,0.00920437062740298,0.10046723609807907,0.01627194291968337,0.7943403577637385,0.2056596422362615,0.0798051802656821,0.00334648195935095,-0.07394729159763007
