anio,rama_ptf,asalariado,horas_pond
2024,E_ElectricidadGasAgua,False,4269359.323847365
2024,E_ElectricidadGasAgua,True,8915270.54218609
2024,F_Construccion,False,30083399.42749047
2024,F_Construccion,True,38598626.17057217
2024,G-H_ComercioHotelesRest,False,102822492.68861711
2024,G-H_ComercioHotelesRest,True,137110453.38758674
2024,I_TransporteComunicaciones,False,55645833.56499053
2024,I_TransporteComunicaciones,True,44468957.74579187
2024,J-K_FinancieroInmobiliario,False,34874626.52493827
2024,J-K_FinancieroInmobiliario,True,66651019.183799095
2024,L-Q_ServiciosSocialesComunales,False,59400288.58474633
2024,L-Q_ServiciosSocialesComunales,True,133719069.5467774
2025,A-B_AgriculturaPesca,False,110960341.00347139
2025,A-B_AgriculturaPesca,True,20302700.711719126
2025,C_Mineria,False,5135339.045887901
2025,C_Mineria,True,8648611.30551863
2025,D_Manufactura,False,32940750.780734766
2025,D_Manufactura,True,78413108.5119349
2025,E_ElectricidadGasAgua,False,4051361.207330955
2025,E_ElectricidadGasAgua,True,9363878.318534007
2025,F_Construccion,False,33041480.647763837
2025,F_Construccion,True,39133399.525885105
2025,G-H_ComercioHotelesRest,False,107965794.22482705
2025,G-H_ComercioHotelesRest,True,144808660.68921053
2025,I_TransporteComunicaciones,False,61027172.52528857
2025,I_TransporteComunicaciones,True,44852461.54214791
2025,J-K_FinancieroInmobiliario,False,35349186.06792061
2025,J-K_FinancieroInmobiliario,True,68121599.34193927
2025,L-Q_ServiciosSocialesComunales,False,63558215.84947103
2025,L-Q_ServiciosSocialesComunales,True,136844820.3144962
