anio,rama_ptf,concepto,valor
2018,J-K_FinancieroInmobiliario,produccion,269220.0
2018,L-Q_ServiciosSocialesComunales,produccion,282632.0
2018,TOT_Economia,produccion,1732895.0
2018,A-B_AgriculturaPesca,valor_agregado,61497.0
2018,C_Mineria,valor_agregado,57788.0
2018,D_Manufactura,valor_agregado,110157.0
2018,E_ElectricidadGasAgua,valor_agregado,32616.0
2018,F_Construccion,valor_agregado,65110.0
2018,G-H_ComercioHotelesRest,valor_agregado,124966.0
2018,I_TransporteComunicaciones,valor_agregado,77090.0
2018,J-K_FinancieroInmobiliario,valor_agregado,197049.0
2018,L-Q_ServiciosSocialesComunales,valor_agregado,170383.0
2018,TOT_Economia,valor_agregado,896656.0
2018,A-B_AgriculturaPesca,remuneracion_asalariados,15238.0
2018,C_Mineria,remuneracion_asalariados,9142.0
2018,D_Manufactura,remuneracion_asalariados,35240.0
2018,E_ElectricidadGasAgua,remuneracion_asalariados,4927.0
2018,F_Construccion,remuneracion_asalariados,16439.0
2018,G-H_ComercioHotelesRest,remuneracion_asalariados,50515.0
2018,I_TransporteComunicaciones,remuneracion_asalariados,21790.0
2018,J-K_FinancieroInmobiliario,remuneracion_asalariados,59724.0
2018,L-Q_ServiciosSocialesComunales,remuneracion_asalariados,123102.0
2018,TOT_Economia,remuneracion_asalariados,336117.0
2018,A-B_AgriculturaPesca,ingreso_mixto,37038.0
2018,C_Mineria,ingreso_mixto,5550.0
2018,D_Manufactura,ingreso_mixto,13473.0
2018,E_ElectricidadGasAgua,ingreso_mixto,658.0
2018,F_Construccion,ingreso_mixto,27551.0
2018,G-H_ComercioHotelesRest,ingreso_mixto,43974.0
2018,I_TransporteComunicaciones,ingreso_mixto,18041.0
2018,J-K_FinancieroInmobiliario,ingreso_mixto,35003.0
2018,L-Q_ServiciosSocialesComunales,ingreso_mixto,10555.0
2018,TOT_Economia,ingreso_mixto,191843.0
2018,A-B_AgriculturaPesca,excedente_explotacion_bruto,9211.0
2018,C_Mineria,excedente_explotacion_bruto,42171.0
2018,D_Manufactura,excedente_explotacion_bruto,57891.0
