anio,rama_ptf,concepto,valor
2023,E_ElectricidadGasAgua,produccion,121881
2023,F_Construccion,produccion,167284
2023,G-H_ComercioHotelesRest,produccion,405897
2023,I_TransporteComunicaciones,produccion,212811
2023,J-K_FinancieroInmobiliario,produccion,363925
2023,L-Q_ServiciosSocialesComunales,produccion,435354
2023,TOT_Economia,produccion,2693471
2023,A-B_AgriculturaPesca,valor_agregado,132060
2023,C_Mineria,valor_agregado,110293
2023,D_Manufactura,valor_agregado,161333
2023,E_ElectricidadGasAgua,valor_agregado,56731
2023,F_Construccion,valor_agregado,55986
2023,G-H_ComercioHotelesRest,valor_agregado,195718
2023,I_TransporteComunicaciones,valor_agregado,104015
2023,J-K_FinancieroInmobiliario,valor_agregado,264240
2023,L-Q_ServiciosSocialesComunales,valor_agregado,257717
2023,TOT_Economia,valor_agregado,1338093
2024,A-B_AgriculturaPesca,produccion,222346
2024,C_Mineria,produccion,149075
2024,D_Manufactura,produccion,602281
2024,E_ElectricidadGasAgua,produccion,146178
2024,F_Construccion,produccion,183983
2024,G-H_ComercioHotelesRest,produccion,442777
2024,I_TransporteComunicaciones,produccion,230528
2024,J-K_FinancieroInmobiliario,produccion,387661
2024,L-Q_ServiciosSocialesComunales,produccion,498390
2024,TOT_Economia,produccion,2863219
2024,A-B_AgriculturaPesca,valor_agregado,148164
2024,C_Mineria,valor_agregado,86876
2024,D_Manufactura,valor_agregado,168337
2024,E_ElectricidadGasAgua,valor_agregado,67640
2024,F_Construccion,valor_agregado,64283
2024,G-H_ComercioHotelesRest,valor_agregado,225586
2024,I_TransporteComunicaciones,valor_agregado,113583
2024,J-K_FinancieroInmobiliario,valor_agregado,283558
2024,L-Q_ServiciosSocialesComunales,valor_agregado,297460
2024,TOT_Economia,valor_agregado,1455487
