anio,rama_ptf,sexo,grupo_edad,grupo_educ,horas_pond,ingreso_pond,n
2008,F_Construccion,Mujer,30-49,1_Bajo,43967.47325491399,74289817.31796673,18
2008,F_Construccion,Mujer,30-49,2_Medio,89366.44133857402,246130708.97541022,50
2008,F_Construccion,Mujer,30-49,3_Alto,165728.8281421158,1325061135.0989153,106
2008,F_Construccion,Mujer,50+,1_Bajo,17471.87262537906,23518295.35005661,7
2008,F_Construccion,Mujer,50+,2_Medio,23049.251849041884,105222744.64845929,11
2008,F_Construccion,Mujer,50+,3_Alto,28115.8533279614,266694648.88904643,13
2008,G-H_ComercioHotelesRest,Hombre,15-29,1_Bajo,2619577.4590791883,4872309021.451432,1052
2008,G-H_ComercioHotelesRest,Hombre,15-29,2_Medio,11472772.582251212,25055074224.99229,4832
2008,G-H_ComercioHotelesRest,Hombre,15-29,3_Alto,3061866.8178945165,10994757033.496407,1569
2008,G-H_ComercioHotelesRest,Hombre,30-49,1_Bajo,8547902.423646731,19527292636.807346,3327
2008,G-H_ComercioHotelesRest,Hombre,30-49,2_Medio,13708193.360838259,42274716657.98849,5814
2008,G-H_ComercioHotelesRest,Hombre,30-49,3_Alto,4044435.5870456956,25373392728.954628,1727
2008,G-H_ComercioHotelesRest,Hombre,50+,1_Bajo,7674183.363398892,15284962979.360271,3266
2008,G-H_ComercioHotelesRest,Hombre,50+,2_Medio,4175419.530029012,14658805654.816904,1805
2008,G-H_ComercioHotelesRest,Hombre,50+,3_Alto,1222139.480802157,9946481312.350353,452
2008,G-H_ComercioHotelesRest,Mujer,15-29,1_Bajo,1021860.0246812919,1523408377.8150134,441
2008,G-H_ComercioHotelesRest,Mujer,15-29,2_Medio,7627128.802055792,14495960168.55479,3624
2008,G-H_ComercioHotelesRest,Mujer,15-29,3_Alto,3105368.7506564013,9459742945.729267,1874
2008,G-H_ComercioHotelesRest,Mujer,30-49,1_Bajo,6559140.751135269,10396564151.126106,2683
2008,G-H_ComercioHotelesRest,Mujer,30-49,2_Medio,10823743.62642619,24585020521.916245,5409
2008,G-H_ComercioHotelesRest,Mujer,30-49,3_Alto,3605738.747170255,19332115365.931393,1908
2008,G-H_ComercioHotelesRest,Mujer,50+,1_Bajo,4939386.534429878,8022076465.861602,2307
2008,G-H_ComercioHotelesRest,Mujer,50+,2_Medio,2271733.1979036294,5525667330.521433,1414
2008,G-H_ComercioHotelesRest,Mujer,50+,3_Alto,566802.2304979264,2831673775.3081455,290
2008,I_TransporteComunicaciones,Hombre,15-29,1_Bajo,1594221.8778924886,2569258573.599886,622
2008,I_TransporteComunicaciones,Hombre,15-29,2_Medio,6514094.225674144,12560970206.516989,2572
2008,I_TransporteComunicaciones,Hombre,15-29,3_Alto,1919472.9978851438,7231019958.621918,883
2008,I_TransporteComunicaciones,Hombre,30-49,1_Bajo,4880484.169612766,10069450769.737051,1797
2008,I_TransporteComunicaciones,Hombre,30-49,2_Medio,9615819.667553594,23553229617.724133,3661
2008,I_TransporteComunicaciones,Hombre,30-49,3_Alto,2281002.397705916,14674996637.57207,955
2008,I_TransporteComunicaciones,Hombre,50+,1_Bajo,3100801.296795211,7089959837.165465,1321
2008,I_TransporteComunicaciones,Hombre,50+,2_Medio,2388999.5609483747,6928277381.466553,942
2008,I_TransporteComunicaciones,Hombre,50+,3_Alto,538439.2585406573,4405886551.86166,204
2008,I_TransporteComunicaciones,Mujer,15-29,1_Bajo,103231.11739226455,103665470.3424975,52
2008,I_TransporteComunicaciones,Mujer,15-29,2_Medio,1637160.3557707581,2189265816.344099,733
2008,I_TransporteComunicaciones,Mujer,15-29,3_Alto,1169883.8464812585,3875278525.9631276,574
2008,I_TransporteComunicaciones,Mujer,30-49,1_Bajo,273823.32262225647,222163060.98463523,154
2008,I_TransporteComunicaciones,Mujer,30-49,2_Medio,1346016.041561328,2336305564.5739713,654
2008,I_TransporteComunicaciones,Mujer,30-49,3_Alto,943246.0564955783,5244540241.374857,411
2008,I_TransporteComunicaciones,Mujer,50+,1_Bajo,226469.261058059,544436600.7694359,98
2008,I_TransporteComunicaciones,Mujer,50+,2_Medio,215118.11479125443,553795943.2362169,110
2008,I_TransporteComunicaciones,Mujer,50+,3_Alto,66001.33437036979,1015868821.6198596,43
2008,J-K_FinancieroInmobiliario,Hombre,15-29,1_Bajo,272177.93964901264,621470832.2489456,83
2008,J-K_FinancieroInmobiliario,Hombre,15-29,2_Medio,2238086.4910568167,5098379536.456729,737
2008,J-K_FinancieroInmobiliario,Hombre,15-29,3_Alto,1753997.0143515833,9493947923.908518,714
2008,J-K_FinancieroInmobiliario,Hombre,30-49,1_Bajo,1168807.180478959,3514837878.990442,385
2008,J-K_FinancieroInmobiliario,Hombre,30-49,2_Medio,3174620.0179696665,10256812502.409658,1107
2008,J-K_FinancieroInmobiliario,Hombre,30-49,3_Alto,3056109.2852087477,34879083256.63668,1353
2008,J-K_FinancieroInmobiliario,Hombre,50+,1_Bajo,983718.5081403315,2293745165.8941274,424
2008,J-K_FinancieroInmobiliario,Hombre,50+,2_Medio,894596.5656847628,3691785339.5758452,424
2008,J-K_FinancieroInmobiliario,Hombre,50+,3_Alto,1276546.6337402787,17624852570.868523,632
2008,J-K_FinancieroInmobiliario,Mujer,15-29,1_Bajo,161881.73611635534,236267494.69838658,105
2008,J-K_FinancieroInmobiliario,Mujer,15-29,2_Medio,1062162.5964142582,2506035186.209416,523
2008,J-K_FinancieroInmobiliario,Mujer,15-29,3_Alto,2122602.0950281583,10907440804.319618,989
2008,J-K_FinancieroInmobiliario,Mujer,30-49,1_Bajo,1179096.429333389,2209813870.510706,772
2008,J-K_FinancieroInmobiliario,Mujer,30-49,2_Medio,2088134.3956628875,5554157176.864125,1045
2008,J-K_FinancieroInmobiliario,Mujer,30-49,3_Alto,2547056.856002188,20536120499.52175,1301
2008,J-K_FinancieroInmobiliario,Mujer,50+,1_Bajo,668563.3711180366,1145397084.001181,463
2008,J-K_FinancieroInmobiliario,Mujer,50+,2_Medio,392656.09399743355,1331212852.0104222,215
2008,J-K_FinancieroInmobiliario,Mujer,50+,3_Alto,505393.8742999309,4928533050.567043,212
2008,L-Q_ServiciosSocialesComunales,Hombre,15-29,1_Bajo,343384.74280061317,680087301.8733695,123
2008,L-Q_ServiciosSocialesComunales,Hombre,15-29,2_Medio,3663679.5479917796,9639722233.471586,1446
2008,L-Q_ServiciosSocialesComunales,Hombre,15-29,3_Alto,2686299.922766274,14597835816.19885,1480
2008,L-Q_ServiciosSocialesComunales,Hombre,30-49,1_Bajo,1397524.7976240513,3249606847.8635387,441
2008,L-Q_ServiciosSocialesComunales,Hombre,30-49,2_Medio,4975528.146109467,18058027797.522118,1998
2008,L-Q_ServiciosSocialesComunales,Hombre,30-49,3_Alto,6088491.329821442,59815110579.013336,3286
